Time,Ballooned memory for R02,Consumed for R02,Overhead consumed for R02,Host consumed % for R02,
2021-07-08T00:00:00.000Z,0,2472836100,8422928,51,35
2021-07-09T00:00:00.000Z,0,2473391620,8423189,51,36
2021-07-10T00:00:00.000Z,0,2474051070,8422509,51,38
2021-07-11T00:00:00.000Z,0,2474063620,8423095,51,38
2021-07-12T00:00:00.000Z,0,2474065920,8422801,51,38
2021-07-13T00:00:00.000Z,0,2474065660,8421679,51,38
2021-07-14T00:00:00.000Z,0,2474053120,8423013,51,38
2021-07-15T00:00:00.000Z,0,2474050820,8423125,51,38
2021-07-16T00:00:00.000Z,0,2474131970,8423645,51,38
2021-07-17T00:00:00.000Z,0,2474167810,8423017,51,38
2021-07-18T00:00:00.000Z,0,2474174210,8422615,51,38
2021-07-19T00:00:00.000Z,0,2484481020,8441852,51,59
2021-07-20T00:00:00.000Z,0,2488727300,8439516,51,68
2021-07-21T00:00:00.000Z,0,2488750340,8441943,51,68
2021-07-22T00:00:00.000Z,0,2488744700,8441268,51,68
2021-07-23T00:00:00.000Z,0,2492103680,8447994,51,75
2021-07-24T00:00:00.000Z,0,2492138750,8447108,51,75
2021-07-25T00:00:00.000Z,0,2492115460,8446480,51,75
2021-07-26T00:00:00.000Z,0,2492114180,8445253,51,75
2021-07-27T00:00:00.000Z,0,2492119300,8446119,51,75
2021-07-28T00:00:00.000Z,0,2492131840,8447869,51,75
2021-07-29T00:00:00.000Z,0,2492143100,8448313,51,75
2021-07-30T00:00:00.000Z,0,2464430340,8384018,51,18
2021-07-31T00:00:00.000Z,0,2464774660,8385541,51,18
2021-08-01T00:00:00.000Z,0,2464805120,8385928,51,18
2021-08-02T00:00:00.000Z,0,2464817660,8383394,51,18
2021-08-03T00:00:00.000Z,0,2464947710,8384298,51,19
2021-08-04T00:00:00.000Z,0,2464995840,8385650,51,19
2021-08-05T00:00:00.000Z,0,2473457410,8388587,51,36
2021-08-06T00:00:00.000Z,0,2473479940,8387661,51,36
2021-08-07T00:00:00.000Z,0,2473510660,8386636,51,36
2021-08-08T00:00:00.000Z,0,2496292100,8438389,51,84
2021-08-09T00:00:00.000Z,0,2496279300,8437009,51,84
2021-08-10T00:00:00.000Z,0,2500515070,8437613,51,92
2021-08-11T00:00:00.000Z,0,2540555520,8730361,52,76
2021-08-12T00:00:00.000Z,0,2591481600,8951741,53,83
2021-08-13T00:00:00.000Z,0,2616762110,9027212,54,34
2021-08-14T00:00:00.000Z,0,2589701630,9030924,53,78
2021-08-15T00:00:00.000Z,0,2589746180,9031242,53,78
2021-08-16T00:00:00.000Z,0,2589822980,9031864,53,78
2021-08-17T00:00:00.000Z,0,2623808260,9233224,54,49
2021-08-18T00:00:00.000Z,0,2687681020,9226908,55,81
2021-08-19T00:00:00.000Z,0,2693439490,9219956,55,93
2021-08-20T00:00:00.000Z,0,2782983170,9852439,57,8
2021-08-21T00:00:00.000Z,0,2812840960,9850640,58,42
2021-08-22T00:00:00.000Z,0,2789040380,9796660,57,92
2021-08-23T00:00:00.000Z,0,2798008580,9797456,58,11
2021-08-24T00:00:00.000Z,0,2800394240,9789684,58,16
2021-08-25T00:00:00.000Z,0,2796527870,9680845,58,8
2021-08-26T00:00:00.000Z,0,2831847940,9716399,58,81
2021-08-27T00:00:00.000Z,0,2832679170,9724895,58,83
2021-08-28T00:00:00.000Z,0,2832889340,9725095,58,83
2021-08-29T00:00:00.000Z,0,2833159170,9725448,58,84
2021-08-30T00:00:00.000Z,0,2833354240,9724500,58,84
2021-08-31T00:00:00.000Z,0,2846413820,9722954,59,11
2021-09-01T00:00:00.000Z,0,2889293820,10085421,60,1
2021-09-02T00:00:00.000Z,0,2889313540,10077734,60,1
2021-09-03T00:00:00.000Z,0,2886943490,10076384,59,96
2021-09-04T00:00:00.000Z,0,2887075070,10078100,59,96
2021-09-05T00:00:00.000Z,0,2891515650,10086049,60,5
2021-09-06T00:00:00.000Z,0,2885265150,10071022,59,92
2021-09-07T00:00:00.000Z,0,2886121220,10062505,59,94
2021-09-08T00:00:00.000Z,0,2887994620,10062753,59,98
2021-09-09T00:00:00.000Z,0,2888035330,10064225,59,98
2021-09-10T00:00:00.000Z,0,2888079100,10064712,59,98
2021-09-11T00:00:00.000Z,0,2882304000,10064977,59,86
2021-09-12T00:00:00.000Z,0,2877799940,10032329,59,77
2021-09-13T00:00:00.000Z,0,2879106300,10033681,59,79
2021-09-14T00:00:00.000Z,0,2883270140,10070623,59,88
2021-09-15T00:00:00.000Z,0,2896195070,10050971,60,15
2021-09-16T00:00:00.000Z,0,2899335420,10054442,60,21
2021-09-17T00:00:00.000Z,0,2904504830,10055963,60,32
2021-09-18T00:00:00.000Z,0,2906575100,10058519,60,36
2021-09-19T00:00:00.000Z,0,2907441150,10061129,60,38
2021-09-20T00:00:00.000Z,0,2907457540,10060105,60,38
2021-09-21T00:00:00.000Z,0,2907518210,10060931,60,38
2021-09-22T00:00:00.000Z,0,2908078590,10062428,60,39
2021-09-23T00:00:00.000Z,0,2908725500,10060729,60,41
2021-09-24T00:00:00.000Z,0,2910137860,10061991,60,44
2021-09-25T00:00:00.000Z,0,2904672000,10064100,60,32
2021-09-26T00:00:00.000Z,0,2904681220,10063733,60,32
2021-09-27T00:00:00.000Z,0,2905285380,10064093,60,34
2021-09-28T00:00:00.000Z,0,2906758400,10020162,60,37
2021-09-29T00:00:00.000Z,0,2907707140,10021686,60,38
2021-09-30T00:00:00.000Z,0,2908977660,10023661,60,41
2021-10-01T00:00:00.000Z,0,2910131200,10024740,60,44
2021-10-02T00:00:00.000Z,0,2910451460,10023694,60,44
2021-10-03T00:00:00.000Z,0,2933080060,10075651,60,91
2021-10-04T00:00:00.000Z,0,2933051390,10076719,60,91
2021-10-05T00:00:00.000Z,0,2936061950,10088058,60,97
2021-10-06T00:00:00.000Z,0,2952220670,10088038,61,31
2021-10-07T00:00:00.000Z,0,2981541630,10316389,61,92
2021-10-08T00:00:00.000Z,0,2985152510,10313795,61,99
2021-10-09T00:00:00.000Z,0,2944763140,10259568,61,16
2021-10-10T00:00:00.000Z,0,2944908540,10261230,61,16
2021-10-11T00:00:00.000Z,0,2945097220,10260181,61,16
2021-10-12T00:00:00.000Z,0,2945271040,10229992,61,17
2021-10-13T00:00:00.000Z,0,2944799740,10228124,61,16
2021-10-14T00:00:00.000Z,0,2953418750,10260772,61,34
2021-10-15T00:00:00.000Z,0,2962028290,10277774,61,51
2021-10-16T00:00:00.000Z,0,2962312700,10281365,61,52
2021-10-17T00:00:00.000Z,0,2962312450,10274588,61,52
2021-10-18T00:00:00.000Z,0,2962380290,10274298,61,52
2021-10-19T00:00:00.000Z,0,2956096770,10249755,61,39
2021-10-20T00:00:00.000Z,0,2943407620,10250564,61,13
2021-10-21T00:00:00.000Z,0,2899463170,10288183,60,22
2021-10-22T00:00:00.000Z,0,2899485180,10287345,60,22
2021-10-23T00:00:00.000Z,0,2909772030,10306183,60,43
2021-10-24T00:00:00.000Z,0,2909761790,10306492,60,43
2021-10-25T00:00:00.000Z,0,2909281020,10305394,60,42
2021-10-26T00:00:00.000Z,0,2950076160,10386416,61,27
2021-10-27T00:00:00.000Z,0,2950160900,10389066,61,27
2021-10-28T00:00:00.000Z,0,2964438270,10410025,61,57
2021-10-29T00:00:00.000Z,0,2964938750,10415110,61,58
2021-10-30T00:00:00.000Z,0,2978499070,10465658,61,86
2021-10-31T00:00:00.000Z,0,2979162880,10466048,61,87
2021-11-01T00:00:00.000Z,0,2979250940,10460511,61,87
2021-11-02T00:00:00.000Z,0,2979285760,10458885,61,88
2021-11-03T00:00:00.000Z,0,2979443200,10461728,61,88
2021-11-04T00:00:00.000Z,0,2962608130,10463389,61,53
2021-11-05T00:00:00.000Z,0,2966224900,10462618,61,61
2021-11-06T00:00:00.000Z,0,2966915330,10462357,61,62
2021-11-07T00:00:00.000Z,0,2971849980,10470873,61,72
2021-11-08T00:00:00.000Z,0,2971898880,10470186,61,72
2021-11-09T00:00:00.000Z,0,2972325120,10473813,61,73
2021-11-10T00:00:00.000Z,0,2971335170,10473113,61,71
2021-11-11T00:00:00.000Z,0,2971378940,10474984,61,71
2021-11-12T00:00:00.000Z,0,2958516740,10478551,61,45
2021-11-13T00:00:00.000Z,0,2958565120,10477148,61,45
2021-11-14T00:00:00.000Z,0,2958561280,10473008,61,45
2021-11-15T00:00:00.000Z,0,2958603520,10473427,61,45
2021-11-16T00:00:00.000Z,0,2967651330,10466195,61,63
2021-11-17T00:00:00.000Z,0,2969164290,10467162,61,67
2021-11-18T00:00:00.000Z,0,2971700480,10472099,61,72
2021-11-19T00:00:00.000Z,0,2978056190,10479317,61,85
2021-11-20T00:00:00.000Z,0,2978118910,10480150,61,85
2021-11-21T00:00:00.000Z,0,2978170110,10476827,61,85
2021-11-22T00:00:00.000Z,0,2978220540,10477971,61,85
2021-11-23T00:00:00.000Z,0,2978264060,10479634,61,85
2021-11-24T00:00:00.000Z,0,2978273790,10480248,61,85
2021-11-25T00:00:00.000Z,0,2956336640,10477450,61,4
2021-11-26T00:00:00.000Z,0,2957135620,10477540,61,42
2021-11-27T00:00:00.000Z,0,2957178370,10475148,61,42
