Time,Data receive rate for V03_n3,Data receive rate for V03_n3 v0,Data receive rate for V03_n3 v1,Data receive rate for V03_n3 v2,Data receive rate for V03_n3 v3,Data receive rate for V03_n3 v4,Data receive rate for V03_n3 v5,Data transmit rate for V03_n3,Data transmit rate for V03_n3 v0,Data transmit rate for V03_n3 v1,Data transmit rate for V03_n3 v2,Data transmit rate for V03_n3 v3,Data transmit rate for V03_n3 v4,Data transmit rate for V03_n3 v5,Usage for V03_n3,Usage for V03_n3 v0,Usage for V03_n3 v1,Usage for V03_n3 v2,Usage for V03_n3 v3,Usage for V03_n3 v4,Usage for V03_n3 v5
2022-03-14T10:00:00.000Z,5137,3119,206,1805,0,1,3,3733,3472,246,0,0,0,14,8870,6592,452,1805,0,1,17
2022-03-14T12:00:00.000Z,4809,2862,427,1516,0,0,3,3557,3250,293,0,0,0,13,8367,6112,720,1516,0,0,16
2022-03-14T14:00:00.000Z,3258,1769,731,752,0,0,3,2286,2048,224,0,0,0,13,5545,3818,956,752,0,0,17
2022-03-14T16:00:00.000Z,2104,1325,252,521,0,0,3,1382,1257,112,0,0,0,12,3487,2583,365,521,0,0,16
2022-03-14T18:00:00.000Z,1979,1231,313,429,0,0,3,1378,1236,128,0,0,0,13,3359,2469,442,429,0,0,16
2022-03-14T20:00:00.000Z,1595,1079,176,334,0,0,3,1165,1041,110,0,0,0,13,2760,2120,286,334,0,0,17
2022-03-14T22:00:00.000Z,4861,1750,440,95,0,2570,3,11787,1453,10302,0,0,14,16,16649,3204,10742,95,0,2585,20
2022-03-15T00:00:00.000Z,648,416,180,46,0,0,3,642,438,191,0,0,0,12,1290,855,371,46,0,0,16
2022-03-15T02:00:00.000Z,1211,366,797,44,0,0,3,810,538,258,0,0,0,13,2022,904,1055,44,0,0,17
2022-03-15T04:00:00.000Z,7603,423,7088,86,0,0,3,600,452,134,0,0,0,12,8204,875,7223,86,0,0,16
2022-03-15T06:00:00.000Z,4931,1724,2151,1046,0,4,3,1954,1730,209,0,0,0,13,6885,3455,2361,1046,0,4,17
2022-03-15T08:00:00.000Z,4686,2588,552,1541,0,0,3,3385,3113,258,0,0,0,12,8072,5702,810,1541,0,0,16
2022-03-15T10:00:00.000Z,5879,3150,730,1994,0,0,3,3552,3313,224,0,0,0,13,9432,6464,955,1994,0,0,16
2022-03-15T12:00:00.000Z,5200,2667,1028,1499,0,0,3,3643,3165,465,0,0,0,12,8844,5833,1493,1499,0,0,16
2022-03-15T14:00:00.000Z,2892,1380,882,625,0,0,3,1942,1742,185,0,0,0,13,4835,3123,1068,625,0,0,17
2022-03-15T16:00:00.000Z,1980,859,845,272,0,0,3,1225,1096,115,0,0,0,12,3206,1956,959,272,0,0,16
2022-03-15T18:00:00.000Z,1601,1029,104,463,0,0,3,1162,1033,114,0,0,0,14,2763,2063,218,463,0,0,18
2022-03-15T20:00:00.000Z,950,681,92,171,0,0,3,1188,860,314,0,0,0,13,2139,1541,406,171,0,0,17
2022-03-15T22:00:00.000Z,5000,1526,590,99,0,2780,3,11200,1277,9889,0,0,15,17,16202,2804,10480,99,0,2795,21
2022-03-16T00:00:00.000Z,461,275,138,43,0,0,3,866,351,500,0,0,0,13,1328,627,638,43,0,0,17
2022-03-16T02:00:00.000Z,517,251,219,43,0,0,3,523,362,146,0,0,0,13,1042,614,365,43,0,0,16
2022-03-16T04:00:00.000Z,517,275,155,83,0,0,3,426,322,90,0,0,0,13,944,597,245,83,0,0,16
2022-03-16T06:00:00.000Z,5162,1419,2931,806,0,1,3,2011,1581,414,0,0,0,14,7174,3001,3346,806,0,1,18
2022-03-16T08:00:00.000Z,4826,2285,1118,1418,0,0,3,3220,2841,364,0,0,0,13,8047,5127,1482,1418,0,0,17
2022-03-16T10:00:00.000Z,10049,2494,5999,1551,0,1,3,3391,3058,319,0,0,0,12,13441,5553,6318,1551,0,1,16
2022-03-16T12:00:00.000Z,54406,2266,50754,1381,0,0,3,3646,2826,806,0,0,0,12,58053,5093,51561,1381,0,0,16
2022-03-16T14:00:00.000Z,45727,1210,43886,626,0,0,3,2125,1599,512,0,0,0,13,47852,2809,44398,626,0,0,17
2022-03-16T16:00:00.000Z,1205,736,187,277,0,0,3,1195,1029,151,0,0,0,13,2400,1766,338,277,0,0,17
2022-03-16T18:00:00.000Z,1050,704,111,229,0,0,3,1156,934,208,0,0,0,13,2206,1639,319,229,0,0,16
2022-03-16T20:00:00.000Z,1011,537,297,172,0,0,3,958,754,189,0,0,0,13,1970,1293,487,172,0,0,17
2022-03-16T22:00:00.000Z,2461,644,654,85,0,1072,3,11116,683,10407,0,0,8,17,13578,1328,11061,85,0,1080,21
2022-03-17T00:00:00.000Z,1225,994,176,50,0,0,3,1516,853,649,0,0,0,12,2741,1847,825,50,0,0,16
2022-03-17T02:00:00.000Z,995,241,712,37,0,0,3,641,424,203,0,0,0,13,1636,666,915,37,0,0,16
2022-03-17T04:00:00.000Z,1973,293,1583,92,0,0,3,485,338,133,0,0,0,13,2458,632,1716,92,0,0,16
2022-03-17T06:00:00.000Z,2477,1273,461,738,0,1,3,1729,1538,178,0,0,0,13,4207,2811,639,738,0,1,16
2022-03-17T08:00:00.000Z,4125,2358,297,1465,0,0,3,3163,2902,247,0,0,0,13,7288,5261,544,1465,0,0,16
2022-03-17T10:00:00.000Z,4066,2353,255,1452,0,1,3,3306,2921,371,0,0,0,12,7372,5275,626,1452,0,1,16
2022-03-17T12:00:00.000Z,4199,2286,532,1376,0,0,3,3394,2721,659,0,0,0,13,7594,5007,1192,1376,0,0,17
2022-03-17T14:00:00.000Z,2985,1151,1218,611,0,0,3,1762,1518,229,0,0,0,13,4747,2669,1448,611,0,0,17
2022-03-17T16:00:00.000Z,976,618,107,246,0,0,3,1047,879,153,0,0,0,14,2024,1497,261,246,0,0,17
2022-03-17T18:00:00.000Z,1107,716,185,202,0,0,3,1120,958,149,0,0,0,12,2228,1675,334,202,0,0,15
2022-03-17T20:00:00.000Z,936,526,234,171,0,0,3,916,714,188,0,0,0,13,1853,1240,422,171,0,0,17
2022-03-17T22:00:00.000Z,3177,1380,480,88,0,1224,3,13719,1215,12478,0,0,8,16,16897,2597,12958,88,0,1232,20
2022-03-18T00:00:00.000Z,498,263,172,57,0,0,3,551,330,205,0,0,0,13,1049,594,378,57,0,0,17
2022-03-18T02:00:00.000Z,1535,235,1256,38,0,0,3,774,479,281,0,0,0,13,2309,714,1537,38,0,0,17
2022-03-18T04:00:00.000Z,809,271,449,84,0,0,3,475,332,128,0,0,0,13,1285,604,578,84,0,0,17
2022-03-18T06:00:00.000Z,3453,1237,1473,736,0,1,3,1699,1477,207,0,0,0,13,5152,2715,1681,736,0,1,17
2022-03-18T08:00:00.000Z,4901,2319,1083,1493,0,0,3,3038,2694,329,0,0,0,13,7939,5014,1412,1493,0,0,17
2022-03-18T10:00:00.000Z,5933,2659,1462,1805,0,1,3,3190,2742,433,0,0,0,13,9123,5401,1896,1805,0,1,17
2022-03-18T12:00:00.000Z,4462,2046,1127,1284,0,0,3,2685,2387,284,0,0,0,13,7148,4434,1411,1284,0,0,17
2022-03-18T14:00:00.000Z,2398,1019,897,477,0,0,3,1737,1292,430,0,0,0,13,4135,2313,1327,477,0,0,17
2022-03-18T16:00:00.000Z,1380,712,258,405,0,0,3,850,677,158,0,0,0,13,2231,1390,417,405,0,0,17
2022-03-18T18:00:00.000Z,1145,416,588,135,0,0,3,745,590,140,0,0,0,13,1890,1007,728,135,0,0,17
2022-03-18T20:00:00.000Z,1107,352,649,101,0,0,3,644,480,150,0,0,0,13,1751,833,799,101,0,0,17
2022-03-18T22:00:00.000Z,745,515,160,61,0,3,3,1021,561,445,0,0,1,13,1767,1076,607,61,0,4,17
2022-03-19T00:00:00.000Z,1326,1012,268,41,0,0,3,1250,874,362,0,0,0,13,2577,1887,630,41,0,0,17
2022-03-19T02:00:00.000Z,590,247,287,50,0,0,3,699,456,230,0,0,0,12,1290,704,516,50,0,0,16
2022-03-19T04:00:00.000Z,393,244,86,58,0,0,3,445,318,113,0,0,0,13,839,562,200,58,0,0,17
2022-03-19T06:00:00.000Z,585,311,193,76,0,1,3,487,382,91,0,0,0,12,1073,694,284,76,0,1,16
2022-03-19T08:00:00.000Z,994,398,460,130,0,0,3,639,543,82,0,0,0,12,1633,941,543,130,0,0,16
2022-03-19T10:00:00.000Z,1358,596,623,132,0,1,3,907,689,203,0,0,0,13,2265,1286,827,132,0,1,16
2022-03-19T12:00:00.000Z,1100,385,586,124,0,0,3,673,510,149,0,0,0,12,1774,896,735,124,0,0,16
2022-03-19T14:00:00.000Z,781,360,311,104,0,0,3,620,490,117,0,0,0,12,1402,851,428,104,0,0,16
2022-03-19T16:00:00.000Z,1040,355,568,111,0,0,3,611,490,107,0,0,0,12,1652,847,676,111,0,0,16
2022-03-19T18:00:00.000Z,892,363,430,93,0,0,3,649,503,132,0,0,0,13,1541,867,562,93,0,0,16
