Time,Read rate for V03_n2,Usage for V03_n2,Write rate for V03_n2
2021-08-13T00:00:00.000Z,1995,3968,1971
2021-08-14T00:00:00.000Z,1574,3232,1657
2021-08-15T00:00:00.000Z,1257,2725,1469
2021-08-16T00:00:00.000Z,1196,2326,1129
2021-08-17T00:00:00.000Z,2074,4582,2507
2021-08-18T00:00:00.000Z,2027,4065,2037
2021-08-19T00:00:00.000Z,1249,2394,1145
2021-08-20T00:00:00.000Z,2630,5887,3257
2021-08-21T00:00:00.000Z,1674,3625,1950
2021-08-22T00:00:00.000Z,1480,3136,1656
2021-08-23T00:00:00.000Z,1626,3715,2088
2021-08-24T00:00:00.000Z,2458,5758,3299
2021-08-25T00:00:00.000Z,1793,3881,2087
2021-08-26T00:00:00.000Z,1800,3818,2017
2021-08-27T00:00:00.000Z,1965,4213,2247
2021-08-28T00:00:00.000Z,2067,4820,2752
2021-08-29T00:00:00.000Z,1485,3035,1550
2021-08-30T00:00:00.000Z,1739,3834,2094
2021-08-31T00:00:00.000Z,3100,7474,4374
2021-09-01T00:00:00.000Z,3134,8999,5864
2021-09-02T00:00:00.000Z,1874,4285,2411
2021-09-03T00:00:00.000Z,2437,5569,3133
2021-09-04T00:00:00.000Z,2073,4861,2788
2021-09-05T00:00:00.000Z,11525,12817,1292
2021-09-06T00:00:00.000Z,2387,4736,2348
2021-09-07T00:00:00.000Z,1888,4979,3091
2021-09-08T00:00:00.000Z,2338,5227,2889
2021-09-09T00:00:00.000Z,2433,5844,3411
2021-09-10T00:00:00.000Z,1769,4024,2255
2021-09-11T00:00:00.000Z,1964,4500,2535
2021-09-12T00:00:00.000Z,1538,3415,1876
2021-09-13T00:00:00.000Z,1627,3621,1994
2021-09-14T00:00:00.000Z,2596,6238,3641
2021-09-15T00:00:00.000Z,2035,4276,2240
2021-09-16T00:00:00.000Z,1921,4634,2714
2021-09-17T00:00:00.000Z,1934,4099,2165
2021-09-18T00:00:00.000Z,1668,3718,2049
2021-09-19T00:00:00.000Z,1842,8583,6739
2021-09-20T00:00:00.000Z,1919,4503,2583
2021-09-21T00:00:00.000Z,2075,5010,2934
2021-09-22T00:00:00.000Z,3524,9157,5633
2021-09-23T00:00:00.000Z,2771,7400,4629
2021-09-24T00:00:00.000Z,2459,5891,3432
2021-09-25T00:00:00.000Z,1862,4279,2417
2021-09-26T00:00:00.000Z,1953,4729,2776
2021-09-27T00:00:00.000Z,2272,5313,3040
2021-09-28T00:00:00.000Z,3750,10180,6429
2021-09-29T00:00:00.000Z,1773,4304,2530
2021-09-30T00:00:00.000Z,1919,3911,1992
2021-10-01T00:00:00.000Z,4024,9994,5970
2021-10-02T00:00:00.000Z,3631,9411,5779
2021-10-03T00:00:00.000Z,1746,4283,2536
2021-10-04T00:00:00.000Z,2514,6481,3967
2021-10-05T00:00:00.000Z,2222,5885,3663
2021-10-06T00:00:00.000Z,2551,6654,4102
2021-10-07T00:00:00.000Z,1987,4924,2936
2021-10-08T00:00:00.000Z,2227,5538,3310
2021-10-09T00:00:00.000Z,2093,5351,3258
2021-10-10T00:00:00.000Z,1640,4054,2413
2021-10-11T00:00:00.000Z,2235,5568,3332
2021-10-12T00:00:00.000Z,2167,5603,3436
2021-10-13T00:00:00.000Z,2800,6770,3970
2021-10-14T00:00:00.000Z,2113,5488,3375
2021-10-15T00:00:00.000Z,2339,5861,3521
2021-10-16T00:00:00.000Z,2262,5687,3425
2021-10-17T00:00:00.000Z,1753,4485,2731
2021-10-18T00:00:00.000Z,1764,4445,2680
2021-10-19T00:00:00.000Z,2529,6476,3946
