Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2021-06-27T00:00:00.000Z,51331276,0,875455620,849559360,237941,0
2021-06-28T00:00:00.000Z,60627480,0,912508350,886677700,238789,0
2021-06-29T00:00:00.000Z,65666156,0,912552130,886684930,240173,0
2021-06-30T00:00:00.000Z,73405488,0,912539580,886682940,239258,0
2021-07-01T00:00:00.000Z,78595600,0,912525440,886690240,283347,0
2021-07-02T00:00:00.000Z,74534760,0,912049920,886764990,837131,0
2021-07-03T00:00:00.000Z,57645032,0,912081860,886803520,836091,0
2021-07-04T00:00:00.000Z,54135452,0,912083780,886808260,832665,0
2021-07-05T00:00:00.000Z,62175768,0,912095300,886817150,832196,0
2021-07-06T00:00:00.000Z,65947328,0,912114940,886830080,830733,0
2021-07-07T00:00:00.000Z,70403888,0,912117700,886834750,830721,0
2021-07-08T00:00:00.000Z,79786256,0,912664260,887373760,824774,0
2021-07-09T00:00:00.000Z,78291512,0,912659260,887393730,824734,0
2021-07-10T00:00:00.000Z,62656504,0,912681340,887393540,824867,0
2021-07-11T00:00:00.000Z,58512648,0,912659070,887395460,824493,0
2021-07-12T00:00:00.000Z,72388224,0,912678460,887395520,824008,0
2021-07-13T00:00:00.000Z,74188376,0,912687040,887396290,823313,0
2021-07-14T00:00:00.000Z,72885176,0,912696700,887396220,823566,0
2021-07-15T00:00:00.000Z,81905728,0,912688000,887396220,822875,0
2021-07-16T00:00:00.000Z,78733384,0,912689790,887395970,822598,0
2021-07-17T00:00:00.000Z,62371296,0,912694980,887395580,822606,0
2021-07-18T00:00:00.000Z,57715372,0,912677380,887395580,823982,0
2021-07-19T00:00:00.000Z,74175152,0,912670910,887395650,823288,0
2021-07-20T00:00:00.000Z,72201440,0,912689150,887401280,822927,0
2021-07-21T00:00:00.000Z,78496240,0,912746500,887444860,822582,0
2021-07-22T00:00:00.000Z,78032824,0,912752580,887444860,823540,0
2021-07-23T00:00:00.000Z,77368480,0,912747580,887449150,823146,0
2021-07-24T00:00:00.000Z,58884132,0,912749500,887449220,823713,0
2021-07-25T00:00:00.000Z,62758952,0,912728700,887449790,823035,0
2021-07-26T00:00:00.000Z,70024376,0,912736380,887449220,823119,0
2021-07-27T00:00:00.000Z,73622704,0,912751810,887449280,823077,0
2021-07-28T00:00:00.000Z,65769732,0,912752830,887455300,823066,0
2021-07-29T00:00:00.000Z,75293256,0,912728960,887455550,822828,0
2021-07-30T00:00:00.000Z,79850360,0,912729340,887464260,822966,0
2021-07-31T00:00:00.000Z,58744972,0,912757950,887464580,822789,0
2021-08-01T00:00:00.000Z,53173680,0,912755200,887466500,822868,0
2021-08-02T00:00:00.000Z,67830472,0,912758660,887466430,823291,0
2021-08-03T00:00:00.000Z,68097960,0,912764670,887470910,822535,0
2021-08-04T00:00:00.000Z,70014416,0,912749890,887478400,822005,0
2021-08-05T00:00:00.000Z,69484432,0,912780540,887495550,822407,0
2021-08-06T00:00:00.000Z,68342512,0,912793020,887509060,823134,0
2021-08-07T00:00:00.000Z,49023272,0,912798140,887523010,821019,0
2021-08-08T00:00:00.000Z,48271152,0,912821500,887535810,820893,0
2021-08-09T00:00:00.000Z,63410160,0,912835970,887549440,821081,0
2021-08-10T00:00:00.000Z,62673460,0,912855490,887565820,820813,0
2021-08-11T00:00:00.000Z,65331332,0,912871360,887575810,820468,0
2021-08-12T00:00:00.000Z,67516304,0,912909760,887595330,820253,0
2021-08-13T00:00:00.000Z,65130544,0,912908800,887613440,821039,0
2021-08-14T00:00:00.000Z,44361920,0,912930880,887637120,821322,0
2021-08-15T00:00:00.000Z,44643312,0,912915970,887644030,821295,0
2021-08-16T00:00:00.000Z,62314208,0,912939260,887659900,820855,0
2021-08-17T00:00:00.000Z,65241088,0,913023940,887728320,821086,0
2021-08-18T00:00:00.000Z,66879472,0,913035140,887752190,821373,0
2021-08-19T00:00:00.000Z,65614368,0,913071810,887772030,820841,0
2021-08-20T00:00:00.000Z,76653912,0,913072700,887794430,821046,0
2021-08-21T00:00:00.000Z,56982916,0,913081020,887800510,820989,0
2021-08-22T00:00:00.000Z,57685300,0,913091140,887814660,821135,0
2021-08-23T00:00:00.000Z,72642456,0,913098880,887814460,821138,0
2021-08-24T00:00:00.000Z,75240432,0,913111680,887820740,821008,0
2021-08-25T00:00:00.000Z,75759400,0,913137090,887848380,820318,0
2021-08-26T00:00:00.000Z,80421240,0,913155260,887853060,820592,0
2021-08-27T00:00:00.000Z,79603048,0,928679300,903181820,745266,0
2021-08-28T00:00:00.000Z,60553960,0,946862780,921351420,744252,0
2021-08-29T00:00:00.000Z,59145120,0,946857020,921352900,739960,0
2021-08-30T00:00:00.000Z,76291048,0,946866560,921355580,736400,0
2021-08-31T00:00:00.000Z,81349688,0,946881280,921352900,736249,0
2021-09-01T00:00:00.000Z,99245184,0,946936450,921356220,735816,0
2021-09-02T00:00:00.000Z,91605768,0,946926460,921362620,735198,0
2021-09-03T00:00:00.000Z,89930120,0,946902400,921357820,735992,0
2021-09-04T00:00:00.000Z,65511720,0,946905600,921359100,735725,0
2021-09-05T00:00:00.000Z,78559848,0,947170820,921358980,734902,0
2021-09-06T00:00:00.000Z,84546536,0,946991300,921358980,735120,0
2021-09-07T00:00:00.000Z,101478728,0,946904320,921371260,735554,0
2021-09-08T00:00:00.000Z,84710816,0,946899330,921362180,735179,0
2021-09-09T00:00:00.000Z,88595808,0,946899900,921362690,734619,0
2021-09-10T00:00:00.000Z,86974568,0,946898500,921362560,734763,0
2021-09-11T00:00:00.000Z,64932984,0,946918020,921364740,734971,0
2021-09-12T00:00:00.000Z,63940584,0,946915970,921373310,735128,0
2021-09-13T00:00:00.000Z,79839744,0,946907650,921377410,734306,0
2021-09-14T00:00:00.000Z,81103664,0,946910140,921377920,734926,0
2021-09-15T00:00:00.000Z,79350680,0,946914940,921385540,735127,0
2021-09-16T00:00:00.000Z,87638672,0,946915260,921387900,735375,0
2021-09-17T00:00:00.000Z,88760928,0,946903870,921390980,736288,0
2021-09-18T00:00:00.000Z,66572584,0,946942850,921408580,735776,0
2021-09-19T00:00:00.000Z,60960072,0,947105860,921411970,736219,0
2021-09-20T00:00:00.000Z,80553072,0,946933890,921413250,735156,0
2021-09-21T00:00:00.000Z,84055640,0,946934980,921404160,735797,0
2021-09-22T00:00:00.000Z,89062448,0,947283010,921734020,735759,0
2021-09-23T00:00:00.000Z,87508008,0,947267650,921729600,735571,0
2021-09-24T00:00:00.000Z,87273920,0,947282180,921729980,735613,0
2021-09-25T00:00:00.000Z,76042416,0,947264900,921731710,735956,0
2021-09-26T00:00:00.000Z,69187576,0,947254400,921733890,735176,0
2021-09-27T00:00:00.000Z,83663568,0,947270980,921737340,735366,0
2021-09-28T00:00:00.000Z,93289368,0,947287170,921736900,734709,0
2021-09-29T00:00:00.000Z,97205984,0,947258240,921737540,735743,0
2021-09-30T00:00:00.000Z,78746864,0,947285310,921743550,735674,0
2021-10-01T00:00:00.000Z,111232304,0,947338050,921751620,735191,0
2021-10-02T00:00:00.000Z,93797544,0,947349250,921759810,734984,0
2021-10-03T00:00:00.000Z,82959328,0,947310210,921759420,735659,0
2021-10-04T00:00:00.000Z,97005392,0,947327170,921759420,734911,0
2021-10-05T00:00:00.000Z,99126376,0,947305020,921759940,735611,0
2021-10-06T00:00:00.000Z,101027264,0,947331390,921764290,734669,0
2021-10-07T00:00:00.000Z,100602824,0,947314240,921753020,735801,0
2021-10-08T00:00:00.000Z,100375120,0,947350400,921758660,734968,0
