Time,Usage in MHz for R02,Usage for R02,
2022-03-13T14:00:00.000Z,60035,33,35
2022-03-13T16:00:00.000Z,59883,33,26
2022-03-13T18:00:00.000Z,57655,32,3
2022-03-13T20:00:00.000Z,50277,27,93
2022-03-13T22:00:00.000Z,53088,29,49
2022-03-14T00:00:00.000Z,52165,28,98
2022-03-14T02:00:00.000Z,50718,28,17
2022-03-14T04:00:00.000Z,59160,32,86
2022-03-14T06:00:00.000Z,109247,60,69
2022-03-14T08:00:00.000Z,140207,77,89
2022-03-14T10:00:00.000Z,140995,78,33
2022-03-14T12:00:00.000Z,132239,73,46
2022-03-14T14:00:00.000Z,110707,61,5
2022-03-14T16:00:00.000Z,86112,47,84
2022-03-14T18:00:00.000Z,81582,45,32
2022-03-14T20:00:00.000Z,75946,42,19
2022-03-14T22:00:00.000Z,73258,40,69
2022-03-15T00:00:00.000Z,73167,40,64
2022-03-15T02:00:00.000Z,72256,40,14
2022-03-15T04:00:00.000Z,89674,49,81
2022-03-15T06:00:00.000Z,116944,64,96
2022-03-15T08:00:00.000Z,136827,76,1
2022-03-15T10:00:00.000Z,133714,74,28
2022-03-15T12:00:00.000Z,127142,70,63
2022-03-15T14:00:00.000Z,112188,62,32
2022-03-15T16:00:00.000Z,86542,48,7
2022-03-15T18:00:00.000Z,80543,44,74
2022-03-15T20:00:00.000Z,76903,42,72
2022-03-15T22:00:00.000Z,72094,40,5
2022-03-16T00:00:00.000Z,74359,41,31
2022-03-16T02:00:00.000Z,74510,41,39
2022-03-16T04:00:00.000Z,89880,49,93
2022-03-16T06:00:00.000Z,117374,65,2
2022-03-16T08:00:00.000Z,149161,82,86
2022-03-16T10:00:00.000Z,151292,84,5
2022-03-16T12:00:00.000Z,147315,81,84
2022-03-16T14:00:00.000Z,121661,67,58
2022-03-16T16:00:00.000Z,90020,50,1
2022-03-16T18:00:00.000Z,82905,46,5
2022-03-16T20:00:00.000Z,79996,44,44
2022-03-16T22:00:00.000Z,75777,42,9
2022-03-17T00:00:00.000Z,71077,39,48
2022-03-17T02:00:00.000Z,68824,38,23
2022-03-17T04:00:00.000Z,86111,47,83
2022-03-17T06:00:00.000Z,112735,62,63
2022-03-17T08:00:00.000Z,137151,76,19
2022-03-17T10:00:00.000Z,140431,78,1
2022-03-17T12:00:00.000Z,128823,71,56
2022-03-17T14:00:00.000Z,105966,58,87
2022-03-17T16:00:00.000Z,90207,50,11
2022-03-17T18:00:00.000Z,82194,45,66
2022-03-17T20:00:00.000Z,77351,42,97
2022-03-17T22:00:00.000Z,77363,42,97
2022-03-18T00:00:00.000Z,75167,41,75
2022-03-18T02:00:00.000Z,74375,41,31
2022-03-18T04:00:00.000Z,83250,46,25
2022-03-18T06:00:00.000Z,111629,62,1
2022-03-18T08:00:00.000Z,130686,72,6
2022-03-18T10:00:00.000Z,128739,71,52
2022-03-18T12:00:00.000Z,111858,62,14
2022-03-18T14:00:00.000Z,94690,52,6
2022-03-18T16:00:00.000Z,73402,40,77
2022-03-18T18:00:00.000Z,66129,36,73
2022-03-18T20:00:00.000Z,68066,37,81
2022-03-18T22:00:00.000Z,70013,38,89
2022-03-19T00:00:00.000Z,68731,38,18
2022-03-19T02:00:00.000Z,71356,39,64
2022-03-19T04:00:00.000Z,72173,40,9
2022-03-19T06:00:00.000Z,75536,41,96
2022-03-19T08:00:00.000Z,79594,44,21
2022-03-19T10:00:00.000Z,76415,42,45
2022-03-19T12:00:00.000Z,75485,41,93
2022-03-19T14:00:00.000Z,70764,39,31
2022-03-19T16:00:00.000Z,72487,40,27
2022-03-19T18:00:00.000Z,68845,38,24
2022-03-19T20:00:00.000Z,64748,35,97
2022-03-19T22:00:00.000Z,64602,35,89
2022-03-20T00:00:00.000Z,61950,34,41
2022-03-20T02:00:00.000Z,59914,33,28
2022-03-20T04:00:00.000Z,62160,34,53
2022-03-20T06:00:00.000Z,64430,35,79
2022-03-20T08:00:00.000Z,65654,36,47
