Time,Usage in MHz for R02,Usage for R02,
2021-04-13T00:00:00.000Z,29837,16,57
2021-04-14T00:00:00.000Z,28096,15,6
2021-04-15T00:00:00.000Z,29627,16,45
2021-04-16T00:00:00.000Z,25287,14,4
2021-04-17T00:00:00.000Z,26544,14,74
2021-04-18T00:00:00.000Z,25218,14,1
2021-04-19T00:00:00.000Z,25066,13,92
2021-04-20T00:00:00.000Z,25222,14,1
2021-04-21T00:00:00.000Z,26416,14,67
2021-04-22T00:00:00.000Z,25130,13,96
2021-04-23T00:00:00.000Z,25678,14,26
2021-04-24T00:00:00.000Z,24505,13,61
2021-04-25T00:00:00.000Z,25001,13,88
2021-04-26T00:00:00.000Z,24142,13,41
2021-04-27T00:00:00.000Z,25082,13,93
2021-04-28T00:00:00.000Z,24167,13,42
2021-04-29T00:00:00.000Z,26717,14,84
2021-04-30T00:00:00.000Z,25167,13,98
2021-05-01T00:00:00.000Z,26845,14,91
2021-05-02T00:00:00.000Z,25286,14,4
2021-05-03T00:00:00.000Z,24810,13,78
2021-05-04T00:00:00.000Z,24603,13,66
2021-05-05T00:00:00.000Z,25932,14,4
2021-05-06T00:00:00.000Z,25753,14,3
2021-05-07T00:00:00.000Z,24626,13,68
2021-05-08T00:00:00.000Z,24382,13,54
2021-05-09T00:00:00.000Z,24621,13,67
2021-05-10T00:00:00.000Z,25668,14,26
2021-05-11T00:00:00.000Z,28530,15,85
2021-05-12T00:00:00.000Z,28065,15,59
2021-05-13T00:00:00.000Z,29181,16,21
2021-05-14T00:00:00.000Z,39406,21,89
2021-05-15T00:00:00.000Z,40689,22,6
2021-05-16T00:00:00.000Z,39695,22,5
2021-05-17T00:00:00.000Z,28046,15,58
2021-05-18T00:00:00.000Z,30298,16,83
2021-05-19T00:00:00.000Z,34514,19,17
2021-05-20T00:00:00.000Z,30174,16,76
2021-05-21T00:00:00.000Z,29498,16,38
2021-05-22T00:00:00.000Z,28857,16,3
2021-05-23T00:00:00.000Z,28867,16,3
2021-05-24T00:00:00.000Z,28318,15,73
2021-05-25T00:00:00.000Z,28128,15,62
2021-05-26T00:00:00.000Z,27909,15,5
2021-05-27T00:00:00.000Z,30058,16,69
2021-05-28T00:00:00.000Z,27406,15,22
2021-05-29T00:00:00.000Z,29668,16,48
2021-05-30T00:00:00.000Z,28196,15,66
2021-05-31T00:00:00.000Z,30148,16,74
2021-06-01T00:00:00.000Z,29135,16,18
2021-06-02T00:00:00.000Z,33391,18,55
2021-06-03T00:00:00.000Z,29704,16,5
2021-06-04T00:00:00.000Z,30765,17,9
2021-06-05T00:00:00.000Z,30738,17,7
2021-06-06T00:00:00.000Z,31967,17,75
2021-06-07T00:00:00.000Z,28784,15,99
2021-06-08T00:00:00.000Z,31397,17,44
2021-06-09T00:00:00.000Z,30007,16,67
2021-06-10T00:00:00.000Z,31357,17,42
2021-06-11T00:00:00.000Z,30692,17,5
2021-06-12T00:00:00.000Z,41307,22,94
2021-06-13T00:00:00.000Z,30825,17,12
