Time,Usage for V02_n2
2021-09-20T00:00:00.000Z,13614
2021-09-21T00:00:00.000Z,13449
2021-09-22T00:00:00.000Z,13801
2021-09-23T00:00:00.000Z,13703
2021-09-24T00:00:00.000Z,15193
2021-09-25T00:00:00.000Z,22472
2021-09-26T00:00:00.000Z,13646
2021-09-27T00:00:00.000Z,14198
2021-09-28T00:00:00.000Z,13711
2021-09-29T00:00:00.000Z,14570
2021-09-30T00:00:00.000Z,14880
2021-10-01T00:00:00.000Z,15211
2021-10-02T00:00:00.000Z,22340
2021-10-03T00:00:00.000Z,13006
2021-10-04T00:00:00.000Z,13986
2021-10-05T00:00:00.000Z,13961
2021-10-06T00:00:00.000Z,14225
2021-10-07T00:00:00.000Z,13794
2021-10-08T00:00:00.000Z,15182
2021-10-09T00:00:00.000Z,22749
2021-10-10T00:00:00.000Z,14588
2021-10-11T00:00:00.000Z,14238
2021-10-12T00:00:00.000Z,14383
2021-10-13T00:00:00.000Z,89177
2021-10-14T00:00:00.000Z,13739
2021-10-15T00:00:00.000Z,14965
2021-10-16T00:00:00.000Z,22908
2021-10-17T00:00:00.000Z,23151
2021-10-18T00:00:00.000Z,14078
2021-10-19T00:00:00.000Z,13744
2021-10-20T00:00:00.000Z,13480
2021-10-21T00:00:00.000Z,13474
2021-10-22T00:00:00.000Z,14849
2021-10-23T00:00:00.000Z,22767
2021-10-24T00:00:00.000Z,25283
2021-10-25T00:00:00.000Z,13583
2021-10-26T00:00:00.000Z,14047
2021-10-27T00:00:00.000Z,13660
2021-10-28T00:00:00.000Z,13698
2021-10-29T00:00:00.000Z,15016
2021-10-30T00:00:00.000Z,23410
2021-10-31T00:00:00.000Z,13900
2021-11-01T00:00:00.000Z,12552
2021-11-02T00:00:00.000Z,14935
2021-11-03T00:00:00.000Z,26181
2021-11-04T00:00:00.000Z,13957
2021-11-05T00:00:00.000Z,14186
2021-11-06T00:00:00.000Z,24359
2021-11-07T00:00:00.000Z,13309
2021-11-08T00:00:00.000Z,14458
2021-11-09T00:00:00.000Z,13917
2021-11-10T00:00:00.000Z,13887
2021-11-11T00:00:00.000Z,14389
2021-11-12T00:00:00.000Z,13722
2021-11-13T00:00:00.000Z,14007
2021-11-14T00:00:00.000Z,13650
2021-11-15T00:00:00.000Z,21542
2021-11-16T00:00:00.000Z,15716
2021-11-17T00:00:00.000Z,16422
2021-11-18T00:00:00.000Z,18917
2021-11-19T00:00:00.000Z,14099
2021-11-20T00:00:00.000Z,24091
2021-11-21T00:00:00.000Z,13637
2021-11-22T00:00:00.000Z,14001
2021-11-23T00:00:00.000Z,13740
2021-11-24T00:00:00.000Z,13920
2021-11-25T00:00:00.000Z,15590
2021-11-26T00:00:00.000Z,14350
2021-11-27T00:00:00.000Z,24466
2021-11-28T00:00:00.000Z,13454
2021-11-29T00:00:00.000Z,13799
2021-11-30T00:00:00.000Z,17575
2021-12-01T00:00:00.000Z,14359
2021-12-02T00:00:00.000Z,15977
2021-12-03T00:00:00.000Z,14156
2021-12-04T00:00:00.000Z,26364
2021-12-05T00:00:00.000Z,15353
2021-12-06T00:00:00.000Z,16174
2021-12-07T00:00:00.000Z,13579
2021-12-08T00:00:00.000Z,14085
2021-12-09T00:00:00.000Z,13775
2021-12-10T00:00:00.000Z,12852
2021-12-11T00:00:00.000Z,26644
2021-12-12T00:00:00.000Z,15956
2021-12-13T00:00:00.000Z,13994
2021-12-14T00:00:00.000Z,13739
2021-12-15T00:00:00.000Z,14291
2021-12-16T00:00:00.000Z,13821
2021-12-17T00:00:00.000Z,14698
2021-12-18T00:00:00.000Z,24776
2021-12-19T00:00:00.000Z,15365
2021-12-20T00:00:00.000Z,17807
2021-12-21T00:00:00.000Z,14029
