Time,Usage in MHz for V02,Usage for V02,
2022-03-25T10:00:00.000Z,49385,27,43
2022-03-25T12:00:00.000Z,48514,26,95
2022-03-25T14:00:00.000Z,45956,25,53
2022-03-25T16:00:00.000Z,49620,27,56
2022-03-25T18:00:00.000Z,51021,28,34
2022-03-25T20:00:00.000Z,50546,28,8
2022-03-25T22:00:00.000Z,53577,29,76
2022-03-26T00:00:00.000Z,53823,29,9
2022-03-26T02:00:00.000Z,52842,29,35
2022-03-26T04:00:00.000Z,48519,26,95
2022-03-26T06:00:00.000Z,46389,25,77
2022-03-26T08:00:00.000Z,43955,24,41
2022-03-26T10:00:00.000Z,40405,22,44
2022-03-26T12:00:00.000Z,39601,22,
2022-03-26T14:00:00.000Z,38203,21,22
2022-03-26T16:00:00.000Z,44737,24,85
2022-03-26T18:00:00.000Z,48855,27,14
2022-03-26T20:00:00.000Z,43120,23,95
2022-03-26T22:00:00.000Z,49116,27,28
2022-03-27T00:00:00.000Z,51047,28,35
2022-03-27T02:00:00.000Z,44633,24,79
2022-03-27T04:00:00.000Z,43308,24,6
2022-03-27T06:00:00.000Z,38777,21,54
2022-03-27T08:00:00.000Z,39193,21,77
2022-03-27T10:00:00.000Z,37316,20,73
2022-03-27T12:00:00.000Z,37250,20,69
2022-03-27T14:00:00.000Z,38622,21,45
2022-03-27T16:00:00.000Z,41625,23,12
2022-03-27T18:00:00.000Z,42200,23,44
2022-03-27T20:00:00.000Z,43536,24,18
2022-03-27T22:00:00.000Z,47843,26,57
2022-03-28T00:00:00.000Z,46780,25,98
2022-03-28T02:00:00.000Z,48348,26,86
2022-03-28T04:00:00.000Z,49188,27,32
2022-03-28T06:00:00.000Z,65929,36,62
2022-03-28T08:00:00.000Z,53933,29,96
2022-03-28T10:00:00.000Z,54713,30,39
2022-03-28T12:00:00.000Z,50949,28,3
2022-03-28T14:00:00.000Z,45413,25,22
2022-03-28T16:00:00.000Z,46420,25,78
2022-03-28T18:00:00.000Z,47862,26,59
2022-03-28T20:00:00.000Z,48733,27,7
2022-03-28T22:00:00.000Z,53479,29,71
2022-03-29T00:00:00.000Z,54019,30,1
2022-03-29T02:00:00.000Z,44217,24,56
2022-03-29T04:00:00.000Z,52151,28,97
2022-03-29T06:00:00.000Z,58232,32,35
2022-03-29T08:00:00.000Z,49095,27,27
2022-03-29T10:00:00.000Z,52902,29,39
2022-03-29T12:00:00.000Z,49943,27,74
2022-03-29T14:00:00.000Z,45436,25,24
2022-03-29T16:00:00.000Z,47224,26,23
2022-03-29T18:00:00.000Z,47569,26,42
2022-03-29T20:00:00.000Z,48073,26,7
2022-03-29T22:00:00.000Z,52658,29,25
2022-03-30T00:00:00.000Z,51596,28,66
2022-03-30T02:00:00.000Z,46962,26,9
2022-03-30T04:00:00.000Z,50212,27,89
2022-03-30T06:00:00.000Z,58636,32,57
2022-03-30T08:00:00.000Z,54634,30,35
2022-03-30T10:00:00.000Z,50578,28,9
2022-03-30T12:00:00.000Z,49466,27,48
2022-03-30T14:00:00.000Z,44757,24,86
2022-03-30T16:00:00.000Z,50341,27,96
2022-03-30T18:00:00.000Z,50723,28,17
2022-03-30T20:00:00.000Z,48376,26,87
2022-03-30T22:00:00.000Z,51446,28,58
2022-03-31T00:00:00.000Z,50696,28,16
2022-03-31T02:00:00.000Z,46599,25,88
2022-03-31T04:00:00.000Z,49056,27,25
2022-03-31T06:00:00.000Z,59900,33,27
2022-03-31T08:00:00.000Z,54088,30,4
2022-03-31T10:00:00.000Z,52269,29,3
2022-03-31T12:00:00.000Z,50711,28,17
2022-03-31T14:00:00.000Z,46386,25,77
2022-03-31T16:00:00.000Z,46907,26,5
2022-03-31T18:00:00.000Z,47005,26,11
2022-03-31T20:00:00.000Z,49142,27,3
2022-03-31T22:00:00.000Z,54232,30,12
2022-04-01T00:00:00.000Z,53726,29,84
2022-04-01T02:00:00.000Z,46290,25,71
2022-04-01T04:00:00.000Z,49188,27,32
2022-04-01T06:00:00.000Z,58051,32,25
2022-04-01T08:00:00.000Z,48945,27,19
2022-04-01T10:00:00.000Z,48760,27,8
2022-04-01T12:00:00.000Z,47408,26,33
2022-04-01T14:00:00.000Z,43581,24,21
2022-04-01T16:00:00.000Z,52799,29,33
2022-04-01T18:00:00.000Z,51114,28,39
2022-04-01T20:00:00.000Z,51035,28,35
2022-04-01T22:00:00.000Z,53934,29,96
2022-04-02T00:00:00.000Z,54196,30,1
2022-04-02T02:00:00.000Z,47276,26,26
2022-04-02T04:00:00.000Z,49064,27,25
2022-04-02T06:00:00.000Z,46056,25,58
2022-04-02T08:00:00.000Z,44729,24,84
2022-04-02T10:00:00.000Z,41991,23,32
2022-04-02T12:00:00.000Z,38996,21,66
2022-04-02T14:00:00.000Z,41148,22,86
2022-04-02T16:00:00.000Z,50184,27,88
2022-04-02T18:00:00.000Z,49015,27,23
2022-04-02T20:00:00.000Z,46825,26,1
2022-04-02T22:00:00.000Z,49408,27,44
2022-04-03T00:00:00.000Z,46964,26,9
2022-04-03T02:00:00.000Z,43023,23,9
2022-04-03T04:00:00.000Z,43761,24,31
2022-04-03T06:00:00.000Z,48615,27,
2022-04-03T08:00:00.000Z,53019,29,45
2022-04-03T10:00:00.000Z,49942,27,74
2022-04-03T12:00:00.000Z,38856,21,58
2022-04-03T14:00:00.000Z,38941,21,63
2022-04-03T16:00:00.000Z,43430,24,12
2022-04-03T18:00:00.000Z,43225,24,1
2022-04-03T20:00:00.000Z,42677,23,7
2022-04-03T22:00:00.000Z,48680,27,4
2022-04-04T00:00:00.000Z,49761,27,64
2022-04-04T02:00:00.000Z,47938,26,63
2022-04-04T04:00:00.000Z,50330,27,96
