Time,Usage for V02_n3
2022-03-27T18:00:00.000Z,48317
2022-03-27T20:00:00.000Z,259518
2022-03-27T22:00:00.000Z,31517
2022-03-28T00:00:00.000Z,137796
2022-03-28T02:00:00.000Z,118383
2022-03-28T04:00:00.000Z,151137
2022-03-28T06:00:00.000Z,73280
2022-03-28T08:00:00.000Z,81472
2022-03-28T10:00:00.000Z,27647
2022-03-28T12:00:00.000Z,28224
2022-03-28T14:00:00.000Z,26541
2022-03-28T16:00:00.000Z,23779
2022-03-28T18:00:00.000Z,53576
2022-03-28T20:00:00.000Z,278663
2022-03-28T22:00:00.000Z,105021
2022-03-29T00:00:00.000Z,107504
2022-03-29T02:00:00.000Z,156231
2022-03-29T04:00:00.000Z,139325
2022-03-29T06:00:00.000Z,73632
2022-03-29T08:00:00.000Z,27045
2022-03-29T10:00:00.000Z,30041
2022-03-29T12:00:00.000Z,30226
2022-03-29T14:00:00.000Z,26666
2022-03-29T16:00:00.000Z,23467
2022-03-29T18:00:00.000Z,53121
2022-03-29T20:00:00.000Z,158736
2022-03-29T22:00:00.000Z,198217
2022-03-30T00:00:00.000Z,121746
2022-03-30T02:00:00.000Z,144023
2022-03-30T04:00:00.000Z,142188
2022-03-30T06:00:00.000Z,70282
2022-03-30T08:00:00.000Z,33642
2022-03-30T10:00:00.000Z,31559
2022-03-30T12:00:00.000Z,26489
2022-03-30T14:00:00.000Z,28560
2022-03-30T16:00:00.000Z,36369
2022-03-30T18:00:00.000Z,63005
2022-03-30T20:00:00.000Z,222373
2022-03-30T22:00:00.000Z,162315
2022-03-31T00:00:00.000Z,128583
2022-03-31T02:00:00.000Z,122643
2022-03-31T04:00:00.000Z,148065
2022-03-31T06:00:00.000Z,75719
2022-03-31T08:00:00.000Z,30138
2022-03-31T10:00:00.000Z,28042
2022-03-31T12:00:00.000Z,24914
2022-03-31T14:00:00.000Z,28370
2022-03-31T16:00:00.000Z,26760
2022-03-31T18:00:00.000Z,56389
2022-03-31T20:00:00.000Z,263158
2022-03-31T22:00:00.000Z,91789
2022-04-01T00:00:00.000Z,80947
2022-04-01T02:00:00.000Z,239105
2022-04-01T04:00:00.000Z,182206
2022-04-01T06:00:00.000Z,73290
2022-04-01T08:00:00.000Z,27137
2022-04-01T10:00:00.000Z,28017
2022-04-01T12:00:00.000Z,26882
2022-04-01T14:00:00.000Z,24200
2022-04-01T16:00:00.000Z,38459
2022-04-01T18:00:00.000Z,66838
2022-04-01T20:00:00.000Z,257010
2022-04-01T22:00:00.000Z,89989
2022-04-02T00:00:00.000Z,60264
2022-04-02T02:00:00.000Z,137308
2022-04-02T04:00:00.000Z,148607
2022-04-02T06:00:00.000Z,66204
2022-04-02T08:00:00.000Z,19176
2022-04-02T10:00:00.000Z,27688
2022-04-02T12:00:00.000Z,21683
2022-04-02T14:00:00.000Z,23418
2022-04-02T16:00:00.000Z,38752
2022-04-02T18:00:00.000Z,62107
2022-04-02T20:00:00.000Z,248158
2022-04-02T22:00:00.000Z,65637
2022-04-03T00:00:00.000Z,118900
2022-04-03T02:00:00.000Z,129143
2022-04-03T04:00:00.000Z,147548
2022-04-03T06:00:00.000Z,58219
2022-04-03T08:00:00.000Z,21701
2022-04-03T10:00:00.000Z,21574
2022-04-03T12:00:00.000Z,21421
2022-04-03T14:00:00.000Z,22551
2022-04-03T16:00:00.000Z,21798
2022-04-03T18:00:00.000Z,49216
2022-04-03T20:00:00.000Z,248251
2022-04-03T22:00:00.000Z,91464
2022-04-04T00:00:00.000Z,112957
2022-04-04T02:00:00.000Z,177082
2022-04-04T04:00:00.000Z,140146
2022-04-04T06:00:00.000Z,77016
2022-04-04T08:00:00.000Z,30033
2022-04-04T10:00:00.000Z,152107
2022-04-04T12:00:00.000Z,30345
2022-04-04T14:00:00.000Z,25426
2022-04-04T16:00:00.000Z,23253
2022-04-04T18:00:00.000Z,51341
2022-04-04T20:00:00.000Z,366864
2022-04-04T22:00:00.000Z,144786
2022-04-05T00:00:00.000Z,112906
2022-04-05T02:00:00.000Z,141779
2022-04-05T04:00:00.000Z,129035
2022-04-05T06:00:00.000Z,72559
2022-04-05T08:00:00.000Z,27746
2022-04-05T10:00:00.000Z,22388
2022-04-05T12:00:00.000Z,21932
2022-04-05T14:00:00.000Z,24771
2022-04-05T16:00:00.000Z,24178
2022-04-05T18:00:00.000Z,52862
2022-04-05T20:00:00.000Z,324755
2022-04-05T22:00:00.000Z,23278
2022-04-06T00:00:00.000Z,68633
2022-04-06T02:00:00.000Z,208549
2022-04-06T04:00:00.000Z,177659
2022-04-06T06:00:00.000Z,149038
2022-04-06T08:00:00.000Z,152578
2022-04-06T10:00:00.000Z,21993
2022-04-06T12:00:00.000Z,23170
2022-04-06T14:00:00.000Z,32314
2022-04-06T16:00:00.000Z,37633
2022-04-06T18:00:00.000Z,61652
2022-04-06T20:00:00.000Z,400054
2022-04-06T22:00:00.000Z,94641
2022-04-07T00:00:00.000Z,119613
2022-04-07T02:00:00.000Z,138624
2022-04-07T04:00:00.000Z,152525
2022-04-07T06:00:00.000Z,79135
2022-04-07T08:00:00.000Z,27392
2022-04-07T10:00:00.000Z,25409
2022-04-07T12:00:00.000Z,24730
2022-04-07T14:00:00.000Z,25312
2022-04-07T16:00:00.000Z,25803
2022-04-07T18:00:00.000Z,53163
2022-04-07T20:00:00.000Z,338347
2022-04-07T22:00:00.000Z,99562
2022-04-08T00:00:00.000Z,114535
2022-04-08T02:00:00.000Z,116502
2022-04-08T04:00:00.000Z,194070
2022-04-08T06:00:00.000Z,78042
2022-04-08T08:00:00.000Z,34339
2022-04-08T10:00:00.000Z,25286
2022-04-08T12:00:00.000Z,20752
2022-04-08T14:00:00.000Z,16001
2022-04-08T16:00:00.000Z,28760
2022-04-08T18:00:00.000Z,58189
2022-04-08T20:00:00.000Z,332146
2022-04-08T22:00:00.000Z,74533
2022-04-09T00:00:00.000Z,132044
2022-04-09T02:00:00.000Z,126080
2022-04-09T04:00:00.000Z,87520
2022-04-09T06:00:00.000Z,10917
