Time,Usage for V02_n2
2021-04-14T00:00:00.000Z,11550
2021-04-15T00:00:00.000Z,13934
2021-04-16T00:00:00.000Z,18579
2021-04-17T00:00:00.000Z,17784
2021-04-18T00:00:00.000Z,12146
2021-04-19T00:00:00.000Z,16295
2021-04-20T00:00:00.000Z,16788
2021-04-21T00:00:00.000Z,15352
2021-04-22T00:00:00.000Z,11219
2021-04-23T00:00:00.000Z,12564
2021-04-24T00:00:00.000Z,17404
2021-04-25T00:00:00.000Z,17497
2021-04-26T00:00:00.000Z,17028
2021-04-27T00:00:00.000Z,22839
2021-04-28T00:00:00.000Z,21769
2021-04-29T00:00:00.000Z,20554
2021-04-30T00:00:00.000Z,20089
2021-05-01T00:00:00.000Z,17230
2021-05-02T00:00:00.000Z,18716
2021-05-03T00:00:00.000Z,18414
2021-05-04T00:00:00.000Z,18901
2021-05-05T00:00:00.000Z,25285
2021-05-06T00:00:00.000Z,21509
2021-05-07T00:00:00.000Z,20490
2021-05-08T00:00:00.000Z,17572
2021-05-09T00:00:00.000Z,17023
2021-05-10T00:00:00.000Z,28344
2021-05-11T00:00:00.000Z,23853
2021-05-12T00:00:00.000Z,19540
2021-05-13T00:00:00.000Z,19072
2021-05-14T00:00:00.000Z,12775
2021-05-15T00:00:00.000Z,
2021-05-16T00:00:00.000Z,
2021-05-17T00:00:00.000Z,74388
2021-05-18T00:00:00.000Z,129144
2021-05-19T00:00:00.000Z,82953
2021-05-20T00:00:00.000Z,12660
2021-05-21T00:00:00.000Z,12600
2021-05-22T00:00:00.000Z,10138
2021-05-23T00:00:00.000Z,9726
2021-05-24T00:00:00.000Z,12347
2021-05-25T00:00:00.000Z,12350
2021-05-26T00:00:00.000Z,11723
2021-05-27T00:00:00.000Z,11286
2021-05-28T00:00:00.000Z,12451
2021-05-29T00:00:00.000Z,10848
2021-05-30T00:00:00.000Z,9343
2021-05-31T00:00:00.000Z,13309
2021-06-01T00:00:00.000Z,10965
2021-06-02T00:00:00.000Z,14180
2021-06-03T00:00:00.000Z,10725
2021-06-04T00:00:00.000Z,11397
2021-06-05T00:00:00.000Z,11192
2021-06-06T00:00:00.000Z,9496
2021-06-07T00:00:00.000Z,13280
2021-06-08T00:00:00.000Z,13781
2021-06-09T00:00:00.000Z,11828
2021-06-10T00:00:00.000Z,10837
2021-06-11T00:00:00.000Z,14794
2021-06-12T00:00:00.000Z,8725
2021-06-13T00:00:00.000Z,8633
2021-06-14T00:00:00.000Z,10207
2021-06-15T00:00:00.000Z,11826
2021-06-16T00:00:00.000Z,13109
2021-06-17T00:00:00.000Z,11115
2021-06-18T00:00:00.000Z,11186
2021-06-19T00:00:00.000Z,9654
2021-06-20T00:00:00.000Z,10288
2021-06-21T00:00:00.000Z,17223
