Time,Usage in MHz for R04,Usage for R04,
2022-03-13T14:00:00.000Z,26896,26,69
2022-03-13T16:00:00.000Z,27084,26,87
2022-03-13T18:00:00.000Z,27501,27,29
2022-03-13T20:00:00.000Z,27819,27,6
2022-03-13T22:00:00.000Z,27444,27,23
2022-03-14T00:00:00.000Z,26642,26,43
2022-03-14T02:00:00.000Z,28451,28,23
2022-03-14T04:00:00.000Z,32705,32,45
2022-03-14T06:00:00.000Z,37597,37,31
2022-03-14T08:00:00.000Z,43461,43,12
2022-03-14T10:00:00.000Z,41426,41,11
2022-03-14T12:00:00.000Z,40448,40,13
2022-03-14T14:00:00.000Z,33891,33,63
2022-03-14T16:00:00.000Z,29366,29,14
2022-03-14T18:00:00.000Z,28991,28,77
2022-03-14T20:00:00.000Z,28755,28,53
2022-03-14T22:00:00.000Z,28102,27,88
2022-03-15T00:00:00.000Z,26945,26,73
2022-03-15T02:00:00.000Z,28227,28,1
2022-03-15T04:00:00.000Z,31259,31,2
2022-03-15T06:00:00.000Z,39725,39,42
2022-03-15T08:00:00.000Z,42510,42,18
2022-03-15T10:00:00.000Z,42706,42,38
2022-03-15T12:00:00.000Z,42519,42,19
2022-03-15T14:00:00.000Z,35174,34,9
2022-03-15T16:00:00.000Z,29448,29,22
2022-03-15T18:00:00.000Z,28438,28,22
2022-03-15T20:00:00.000Z,27965,27,75
2022-03-15T22:00:00.000Z,27335,27,12
2022-03-16T00:00:00.000Z,26549,26,34
2022-03-16T02:00:00.000Z,27945,27,73
2022-03-16T04:00:00.000Z,31295,31,5
2022-03-16T06:00:00.000Z,38015,37,72
2022-03-16T08:00:00.000Z,40660,40,35
2022-03-16T10:00:00.000Z,47143,46,78
2022-03-16T12:00:00.000Z,42259,41,93
2022-03-16T14:00:00.000Z,36715,36,43
2022-03-16T16:00:00.000Z,30138,29,9
2022-03-16T18:00:00.000Z,28325,28,1
2022-03-16T20:00:00.000Z,28139,27,92
2022-03-16T22:00:00.000Z,27752,27,54
2022-03-17T00:00:00.000Z,26273,26,7
2022-03-17T02:00:00.000Z,27915,27,7
2022-03-17T04:00:00.000Z,31769,31,52
2022-03-17T06:00:00.000Z,38021,37,73
2022-03-17T08:00:00.000Z,39449,39,14
2022-03-17T10:00:00.000Z,39883,39,57
2022-03-17T12:00:00.000Z,42181,41,85
2022-03-17T14:00:00.000Z,32112,31,86
2022-03-17T16:00:00.000Z,27650,27,43
2022-03-17T18:00:00.000Z,28379,28,16
2022-03-17T20:00:00.000Z,27675,27,46
2022-03-17T22:00:00.000Z,27375,27,16
2022-03-18T00:00:00.000Z,27120,26,91
2022-03-18T02:00:00.000Z,28506,28,28
2022-03-18T04:00:00.000Z,32311,32,6
2022-03-18T06:00:00.000Z,37268,36,98
2022-03-18T08:00:00.000Z,39002,38,7
2022-03-18T10:00:00.000Z,39139,38,84
2022-03-18T12:00:00.000Z,37369,37,8
2022-03-18T14:00:00.000Z,31848,31,6
2022-03-18T16:00:00.000Z,27196,26,98
2022-03-18T18:00:00.000Z,26422,26,22
2022-03-18T20:00:00.000Z,26358,26,15
2022-03-18T22:00:00.000Z,25595,25,39
2022-03-19T00:00:00.000Z,25200,25,
2022-03-19T02:00:00.000Z,27731,27,51
2022-03-19T04:00:00.000Z,30443,30,21
2022-03-19T06:00:00.000Z,31033,30,79
2022-03-19T08:00:00.000Z,26418,26,21
2022-03-19T10:00:00.000Z,26303,26,1
2022-03-19T12:00:00.000Z,25778,25,58
2022-03-19T14:00:00.000Z,25592,25,39
2022-03-19T16:00:00.000Z,26344,26,14
2022-03-19T18:00:00.000Z,26329,26,12
2022-03-19T20:00:00.000Z,26052,25,85
2022-03-19T22:00:00.000Z,26016,25,81
2022-03-20T00:00:00.000Z,25590,25,39
2022-03-20T02:00:00.000Z,28096,27,88
2022-03-20T04:00:00.000Z,31945,31,7
2022-03-20T06:00:00.000Z,26313,26,11
2022-03-20T08:00:00.000Z,26115,25,91
2022-03-20T10:00:00.000Z,25820,25,62
2022-03-20T12:00:00.000Z,26083,25,88
2022-03-20T14:00:00.000Z,26180,25,98
2022-03-20T16:00:00.000Z,26477,26,27
2022-03-20T18:00:00.000Z,27026,26,82
2022-03-20T20:00:00.000Z,26803,26,59
2022-03-20T22:00:00.000Z,26550,26,34
2022-03-21T00:00:00.000Z,25757,25,56
2022-03-21T02:00:00.000Z,27239,27,3
2022-03-21T04:00:00.000Z,32794,32,54
2022-03-21T06:00:00.000Z,36973,36,69
2022-03-21T08:00:00.000Z,39383,39,8
2022-03-21T10:00:00.000Z,40324,40,1
2022-03-21T12:00:00.000Z,41330,41,1
2022-03-21T14:00:00.000Z,33192,32,93
2022-03-21T16:00:00.000Z,28246,28,3
2022-03-21T18:00:00.000Z,28223,28,
2022-03-21T20:00:00.000Z,28092,27,87
2022-03-21T22:00:00.000Z,27232,27,2
2022-03-22T00:00:00.000Z,26134,25,93
2022-03-22T02:00:00.000Z,28059,27,84
2022-03-22T04:00:00.000Z,31090,30,85
2022-03-22T06:00:00.000Z,37909,37,62
2022-03-22T08:00:00.000Z,40166,39,85
2022-03-22T10:00:00.000Z,39289,38,98
