Time,Read rate for R04_n3,Usage for R04_n3,Write rate for R04_n3
2021-04-14T00:00:00.000Z,9183,12897,3713
2021-04-15T00:00:00.000Z,8953,12791,3837
2021-04-16T00:00:00.000Z,9407,13803,4395
2021-04-17T00:00:00.000Z,6558,8132,1573
2021-04-18T00:00:00.000Z,10186,20021,9834
2021-04-19T00:00:00.000Z,6508,8867,2359
2021-04-20T00:00:00.000Z,7184,9498,2312
2021-04-21T00:00:00.000Z,8023,11314,3291
2021-04-22T00:00:00.000Z,7484,9801,2317
2021-04-23T00:00:00.000Z,7842,10713,2870
2021-04-24T00:00:00.000Z,6234,8101,1866
2021-04-25T00:00:00.000Z,10442,19503,9061
2021-04-26T00:00:00.000Z,7829,11889,4059
2021-04-27T00:00:00.000Z,8611,12640,4028
2021-04-28T00:00:00.000Z,8478,12076,3598
2021-04-29T00:00:00.000Z,9403,11978,2574
2021-04-30T00:00:00.000Z,2234,5040,2805
2021-05-01T00:00:00.000Z,2092,4924,2831
2021-05-02T00:00:00.000Z,1415,3104,1688
2021-05-03T00:00:00.000Z,6133,7771,1638
2021-05-04T00:00:00.000Z,6135,8121,1985
2021-05-05T00:00:00.000Z,9005,13867,4862
2021-05-06T00:00:00.000Z,7606,9936,2330
2021-05-07T00:00:00.000Z,8555,11497,2941
2021-05-08T00:00:00.000Z,7733,10375,2642
2021-05-09T00:00:00.000Z,13754,29997,16243
2021-05-10T00:00:00.000Z,7376,11368,3992
2021-05-11T00:00:00.000Z,8726,11718,2991
2021-05-12T00:00:00.000Z,7472,9477,2004
2021-05-13T00:00:00.000Z,8097,11367,3269
2021-05-14T00:00:00.000Z,7076,8879,1802
2021-05-15T00:00:00.000Z,7184,9109,1925
2021-05-16T00:00:00.000Z,7332,11611,4277
2021-05-17T00:00:00.000Z,8682,11354,2671
2021-05-18T00:00:00.000Z,9670,13056,3386
2021-05-19T00:00:00.000Z,7950,10064,2113
2021-05-20T00:00:00.000Z,8650,11554,2904
2021-05-21T00:00:00.000Z,8175,10147,1971
2021-05-22T00:00:00.000Z,7174,9448,2273
2021-05-23T00:00:00.000Z,8110,13736,5625
2021-05-24T00:00:00.000Z,6294,7767,1472
2021-05-25T00:00:00.000Z,9710,15880,6168
2021-05-26T00:00:00.000Z,8730,11665,2935
2021-05-27T00:00:00.000Z,8452,10589,2136
2021-05-28T00:00:00.000Z,8481,11076,2594
2021-05-29T00:00:00.000Z,8646,10750,2103
2021-05-30T00:00:00.000Z,7608,10629,3020
2021-05-31T00:00:00.000Z,9152,22530,13378
2021-06-01T00:00:00.000Z,10715,15279,4563
2021-06-02T00:00:00.000Z,9791,13051,3259
2021-06-03T00:00:00.000Z,9013,11007,1994
2021-06-04T00:00:00.000Z,6927,8999,2070
2021-06-05T00:00:00.000Z,7193,8661,1468
2021-06-06T00:00:00.000Z,17251,39086,21834
2021-06-07T00:00:00.000Z,7379,19951,12572
2021-06-08T00:00:00.000Z,8993,11496,2502
2021-06-09T00:00:00.000Z,9793,12986,3192
2021-06-10T00:00:00.000Z,8892,11748,2856
2021-06-11T00:00:00.000Z,8826,11016,2189
2021-06-12T00:00:00.000Z,7418,9184,1765
2021-06-13T00:00:00.000Z,7031,8842,1810
2021-06-14T00:00:00.000Z,7449,10000,2550
2021-06-15T00:00:00.000Z,10899,13579,2680
2021-06-16T00:00:00.000Z,8481,10406,1924
2021-06-17T00:00:00.000Z,8202,10541,2338
2021-06-18T00:00:00.000Z,8605,10715,2109
2021-06-19T00:00:00.000Z,6875,8384,1508
2021-06-20T00:00:00.000Z,6399,7413,1013
2021-06-21T00:00:00.000Z,6203,7017,813
2021-06-22T00:00:00.000Z,8356,10638,2281
2021-06-23T00:00:00.000Z,7020,8158,1137
2021-06-24T00:00:00.000Z,6813,8041,1227
2021-06-25T00:00:00.000Z,8878,12924,4044
2021-06-26T00:00:00.000Z,8250,9651,1400
2021-06-27T00:00:00.000Z,15757,35565,19807
2021-06-28T00:00:00.000Z,9772,12641,2868
2021-06-29T00:00:00.000Z,11420,16058,4637
2021-06-30T00:00:00.000Z,10308,13508,3199
2021-07-01T00:00:00.000Z,11463,15929,4465
2021-07-02T00:00:00.000Z,11202,14105,2902
2021-07-03T00:00:00.000Z,9318,11447,2129
2021-07-04T00:00:00.000Z,7170,8159,988
2021-07-05T00:00:00.000Z,7611,9351,1739
2021-07-06T00:00:00.000Z,9380,13142,3761
2021-07-07T00:00:00.000Z,10404,14561,4156
2021-07-08T00:00:00.000Z,10893,14516,3622
2021-07-09T00:00:00.000Z,9999,12151,2151
2021-07-10T00:00:00.000Z,9294,11948,2654
2021-07-11T00:00:00.000Z,8128,12385,4257
2021-07-12T00:00:00.000Z,7248,9067,1819
2021-07-13T00:00:00.000Z,10497,13501,3004
2021-07-14T00:00:00.000Z,9491,12708,3216
2021-07-15T00:00:00.000Z,9650,12927,3276
2021-07-16T00:00:00.000Z,10405,13988,3583
2021-07-17T00:00:00.000Z,7650,9430,1779
2021-07-18T00:00:00.000Z,7410,11204,3793
2021-07-19T00:00:00.000Z,8117,10089,1971
2021-07-20T00:00:00.000Z,13319,17781,4461
2021-07-21T00:00:00.000Z,9913,13424,3511
2021-07-22T00:00:00.000Z,12187,16219,4031
2021-07-23T00:00:00.000Z,11394,13911,2516
2021-07-24T00:00:00.000Z,9124,11249,2124
2021-07-25T00:00:00.000Z,9541,14338,4796
2021-07-26T00:00:00.000Z,7399,10504,3105
2021-07-27T00:00:00.000Z,9408,12466,3057
2021-07-28T00:00:00.000Z,9128,12429,3300
2021-07-29T00:00:00.000Z,10280,13813,3533
2021-07-30T00:00:00.000Z,10147,13978,3831
2021-07-31T00:00:00.000Z,9838,12425,2586
2021-08-01T00:00:00.000Z,9857,15300,5442
2021-08-02T00:00:00.000Z,9069,11980,2911
2021-08-03T00:00:00.000Z,10659,13332,2673
2021-08-04T00:00:00.000Z,11140,14567,3426
2021-08-05T00:00:00.000Z,10406,14030,3623
2021-08-06T00:00:00.000Z,9408,12640,3232
2021-08-07T00:00:00.000Z,8381,10339,1957
2021-08-08T00:00:00.000Z,9095,15436,6340
2021-08-09T00:00:00.000Z,8933,11222,2289
2021-08-10T00:00:00.000Z,12035,16330,4295
2021-08-11T00:00:00.000Z,9071,11322,2250
2021-08-12T00:00:00.000Z,9708,12415,2705
2021-08-13T00:00:00.000Z,9846,12544,2697
2021-08-14T00:00:00.000Z,9088,11474,2386
2021-08-15T00:00:00.000Z,7349,10184,2834
2021-08-16T00:00:00.000Z,7313,9293,1979
2021-08-17T00:00:00.000Z,8804,11221,2417
2021-08-18T00:00:00.000Z,10702,14009,3307
2021-08-19T00:00:00.000Z,9619,12765,3145
2021-08-20T00:00:00.000Z,8384,10794,2409
2021-08-21T00:00:00.000Z,8140,9673,1532
2021-08-22T00:00:00.000Z,8229,12555,4325
2021-08-23T00:00:00.000Z,10283,13424,3140
2021-08-24T00:00:00.000Z,10294,13541,3247
2021-08-25T00:00:00.000Z,9953,13291,3337
2021-08-26T00:00:00.000Z,12874,17842,4967
2021-08-27T00:00:00.000Z,9540,13187,3646
2021-08-28T00:00:00.000Z,9750,11783,2032
2021-08-29T00:00:00.000Z,7818,10245,2426
2021-08-30T00:00:00.000Z,7779,10795,3016
2021-08-31T00:00:00.000Z,13245,19788,6543
2021-09-01T00:00:00.000Z,11190,14295,3104
2021-09-02T00:00:00.000Z,13509,18572,5062
2021-09-03T00:00:00.000Z,14366,17637,3271
2021-09-04T00:00:00.000Z,10952,15430,4477
2021-09-05T00:00:00.000Z,3673,11308,7635
2021-09-06T00:00:00.000Z,17,30,13
2021-09-07T00:00:00.000Z,1569,3766,2196
