Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2022-03-14T10:00:00.000Z,6198,2582,1774,1809,0,28,1,1565,902,619,0,0,35,7,7764,3485,2394,1809,0,64,9
2022-03-14T12:00:00.000Z,5734,2235,1947,1518,0,29,1,1620,896,678,0,0,38,7,7355,3132,2625,1518,0,67,9
2022-03-14T14:00:00.000Z,3543,1265,1494,752,0,28,1,1189,570,575,0,0,35,7,4733,1836,2069,752,0,64,9
2022-03-14T16:00:00.000Z,2105,851,702,520,0,27,1,995,406,546,0,0,35,7,3100,1258,1248,520,0,62,9
2022-03-14T18:00:00.000Z,1800,709,628,433,0,26,1,924,361,520,0,0,34,7,2725,1070,1149,433,0,61,9
2022-03-14T20:00:00.000Z,1458,684,242,328,0,28,173,924,351,529,0,0,35,7,2382,1036,772,328,0,63,181
2022-03-14T22:00:00.000Z,1219,321,545,95,0,36,219,1281,644,584,0,0,45,7,2501,966,1129,95,0,81,226
2022-03-15T00:00:00.000Z,535,191,266,45,0,29,1,632,144,444,0,0,35,7,1168,336,710,45,0,65,9
2022-03-15T02:00:00.000Z,2143,742,1327,42,0,27,1,1675,587,1044,0,0,35,7,3819,1331,2372,42,0,62,9
2022-03-15T04:00:00.000Z,1066,213,737,85,0,27,1,583,140,400,0,0,35,7,1649,353,1137,85,0,63,9
2022-03-15T06:00:00.000Z,4457,1638,1740,1047,0,28,1,1207,573,591,0,0,35,7,5665,2212,2332,1047,0,63,9
2022-03-15T08:00:00.000Z,5767,2752,1441,1542,0,28,1,1970,1194,733,0,0,35,7,7738,3946,2175,1542,0,63,9
2022-03-15T10:00:00.000Z,5707,3191,489,1995,0,28,1,1865,1241,581,0,0,35,7,7574,4432,1071,1995,0,64,9
2022-03-15T12:00:00.000Z,4630,2538,560,1500,0,28,1,2050,1300,707,0,0,35,7,6681,3839,1267,1500,0,64,9
2022-03-15T14:00:00.000Z,3224,1817,749,625,0,28,1,1858,1233,582,0,0,35,7,5083,3051,1332,625,0,63,9
2022-03-15T16:00:00.000Z,1691,867,519,272,0,28,1,1251,645,562,0,0,35,7,2942,1513,1082,272,0,64,9
2022-03-15T18:00:00.000Z,1872,712,665,462,0,28,1,1056,283,730,0,0,35,7,2930,997,1396,462,0,63,9
2022-03-15T20:00:00.000Z,1837,514,1051,171,0,27,71,797,290,463,0,0,35,7,2634,805,1514,171,0,62,79
2022-03-15T22:00:00.000Z,1645,257,1051,92,0,36,206,1170,563,552,0,0,45,7,2815,822,1603,92,0,82,214
2022-03-16T00:00:00.000Z,1460,148,1011,43,0,30,226,643,100,498,0,0,37,7,2104,249,1509,43,0,68,233
