Time,Read rate for R04_n2,Usage for R04_n2,Write rate for R04_n2
2022-03-14T10:00:00.000Z,36779,42811,6031
2022-03-14T12:00:00.000Z,34118,38325,4206
2022-03-14T14:00:00.000Z,33924,39966,6042
2022-03-14T16:00:00.000Z,31000,35515,4514
2022-03-14T18:00:00.000Z,10599,18189,7590
2022-03-14T20:00:00.000Z,6041,10442,4400
2022-03-14T22:00:00.000Z,40921,47401,6480
2022-03-15T00:00:00.000Z,28724,32655,3930
2022-03-15T02:00:00.000Z,4565,6807,2241
2022-03-15T04:00:00.000Z,116568,132330,15762
2022-03-15T06:00:00.000Z,74518,79132,4613
2022-03-15T08:00:00.000Z,11063,18563,7500
2022-03-15T10:00:00.000Z,11401,20292,8891
2022-03-15T12:00:00.000Z,33265,45784,12518
2022-03-15T14:00:00.000Z,21984,34716,12731
2022-03-15T16:00:00.000Z,6749,12020,5270
2022-03-15T18:00:00.000Z,4496,7108,2611
2022-03-15T20:00:00.000Z,5217,8194,2976
2022-03-15T22:00:00.000Z,33710,38645,4934
2022-03-16T00:00:00.000Z,49065,51199,2133
2022-03-16T02:00:00.000Z,31750,34629,2878
2022-03-16T04:00:00.000Z,125219,142418,17198
2022-03-16T06:00:00.000Z,107508,112394,4886
2022-03-16T08:00:00.000Z,34858,38692,3833
2022-03-16T10:00:00.000Z,47374,61318,13944
2022-03-16T12:00:00.000Z,46600,191315,144715
2022-03-16T14:00:00.000Z,51325,60782,9456
2022-03-16T16:00:00.000Z,10274,17427,7152
2022-03-16T18:00:00.000Z,4535,5995,1460
2022-03-16T20:00:00.000Z,4235,5351,1115
2022-03-16T22:00:00.000Z,38282,41531,3248
2022-03-17T00:00:00.000Z,10775,13689,2913
2022-03-17T02:00:00.000Z,5040,6910,1869
2022-03-17T04:00:00.000Z,106578,122364,15786
2022-03-17T06:00:00.000Z,66623,72399,5775
2022-03-17T08:00:00.000Z,11827,14820,2993
2022-03-17T10:00:00.000Z,9217,14200,4983
2022-03-17T12:00:00.000Z,6561,10404,3842
2022-03-17T14:00:00.000Z,8055,13506,5451
2022-03-17T16:00:00.000Z,5386,7869,2483
2022-03-17T18:00:00.000Z,5141,6967,1826
2022-03-17T20:00:00.000Z,5937,9219,3280
2022-03-17T22:00:00.000Z,34748,39023,4275
2022-03-18T00:00:00.000Z,59051,63719,4667
2022-03-18T02:00:00.000Z,62097,71381,9284
2022-03-18T04:00:00.000Z,139841,163363,23521
2022-03-18T06:00:00.000Z,113982,123697,9714
2022-03-18T08:00:00.000Z,29367,34074,4706
2022-03-18T10:00:00.000Z,13360,25466,12106
2022-03-18T12:00:00.000Z,10628,13980,3352
2022-03-18T14:00:00.000Z,12781,34287,21506
2022-03-18T16:00:00.000Z,10854,18922,8067
2022-03-18T18:00:00.000Z,4838,6760,1922
2022-03-18T20:00:00.000Z,4242,6494,2250
2022-03-18T22:00:00.000Z,6087,9044,2956
2022-03-19T00:00:00.000Z,5908,9540,3631
2022-03-19T02:00:00.000Z,24110,62606,38495
2022-03-19T04:00:00.000Z,130801,227816,97013
2022-03-19T06:00:00.000Z,99538,165683,66145
2022-03-19T08:00:00.000Z,14626,28859,14233
2022-03-19T10:00:00.000Z,4474,5771,1296
