Time,Read rate for R04_n3,Usage for R04_n3,Write rate for R04_n3
2022-03-14T10:00:00.000Z,2375,5611,3234
2022-03-14T12:00:00.000Z,3221,7400,4178
2022-03-14T14:00:00.000Z,2804,5761,2956
2022-03-14T16:00:00.000Z,1328,2642,1312
2022-03-14T18:00:00.000Z,1478,2833,1354
2022-03-14T20:00:00.000Z,1209,2061,852
2022-03-14T22:00:00.000Z,2686,5572,2885
2022-03-15T00:00:00.000Z,2126,4444,2317
2022-03-15T02:00:00.000Z,1571,2571,998
2022-03-15T04:00:00.000Z,1549,2806,1256
2022-03-15T06:00:00.000Z,1706,3130,1424
2022-03-15T08:00:00.000Z,3870,8133,4262
2022-03-15T10:00:00.000Z,4360,9136,4776
2022-03-15T12:00:00.000Z,5329,12292,6962
2022-03-15T14:00:00.000Z,3300,7136,3835
2022-03-15T16:00:00.000Z,1552,3005,1453
2022-03-15T18:00:00.000Z,1656,3043,1386
2022-03-15T20:00:00.000Z,1341,2556,1214
2022-03-15T22:00:00.000Z,2462,5085,2623
2022-03-16T00:00:00.000Z,2454,5113,2658
2022-03-16T02:00:00.000Z,2168,4511,2342
2022-03-16T04:00:00.000Z,1157,1936,778
2022-03-16T06:00:00.000Z,1731,3584,1852
2022-03-16T08:00:00.000Z,3012,6324,3311
2022-03-16T10:00:00.000Z,1981,3794,1813
2022-03-16T12:00:00.000Z,1852,3435,1583
2022-03-16T14:00:00.000Z,2847,5999,3151
2022-03-16T16:00:00.000Z,2003,4020,2016
2022-03-16T18:00:00.000Z,2287,4627,2339
2022-03-16T20:00:00.000Z,1357,2519,1161
2022-03-16T22:00:00.000Z,2291,4725,2433
2022-03-17T00:00:00.000Z,2399,5181,2782
2022-03-17T02:00:00.000Z,1633,3254,1620
2022-03-17T04:00:00.000Z,1436,2657,1220
2022-03-17T06:00:00.000Z,2144,4575,2430
2022-03-17T08:00:00.000Z,2100,4192,2092
2022-03-17T10:00:00.000Z,4822,11327,6504
2022-03-17T12:00:00.000Z,2065,7242,5176
2022-03-17T14:00:00.000Z,1588,4420,2831
2022-03-17T16:00:00.000Z,2565,5345,2779
2022-03-17T18:00:00.000Z,2546,5377,2830
2022-03-17T20:00:00.000Z,1803,3629,1825
2022-03-17T22:00:00.000Z,3044,6838,3793
2022-03-18T00:00:00.000Z,4118,9999,5880
2022-03-18T02:00:00.000Z,1352,2276,924
2022-03-18T04:00:00.000Z,2233,4921,2687
2022-03-18T06:00:00.000Z,2793,6402,3608
2022-03-18T08:00:00.000Z,11295,33123,21827
2022-03-18T10:00:00.000Z,12384,31102,18717
2022-03-18T12:00:00.000Z,13720,40108,26387
2022-03-18T14:00:00.000Z,5341,13824,8482
2022-03-18T16:00:00.000Z,2293,4471,2177
2022-03-18T18:00:00.000Z,1791,3722,1930
2022-03-18T20:00:00.000Z,1809,3446,1636
2022-03-18T22:00:00.000Z,1801,3475,1673
2022-03-19T00:00:00.000Z,1553,2702,1149
2022-03-19T02:00:00.000Z,1822,8701,6878
2022-03-19T04:00:00.000Z,4660,9120,4459
2022-03-19T06:00:00.000Z,3365,6607,3241
2022-03-19T08:00:00.000Z,10874,21459,10584
2022-03-19T10:00:00.000Z,2272,4917,2644
2022-03-19T12:00:00.000Z,1502,3068,1566
2022-03-19T14:00:00.000Z,1601,2799,1197
2022-03-19T16:00:00.000Z,2498,5222,2724
