Time,Read rate for R04_n1,Usage for R04_n1,Write rate for R04_n1
2021-08-13T00:00:00.000Z,2427,4867,2439
2021-08-14T00:00:00.000Z,1781,3899,2117
2021-08-15T00:00:00.000Z,2781,6556,3774
2021-08-16T00:00:00.000Z,2822,6072,3249
2021-08-17T00:00:00.000Z,2554,5432,2877
2021-08-18T00:00:00.000Z,3233,6936,3702
2021-08-19T00:00:00.000Z,2699,5783,3083
2021-08-20T00:00:00.000Z,3086,6717,3630
2021-08-21T00:00:00.000Z,2427,5607,3179
2021-08-22T00:00:00.000Z,1884,3650,1765
2021-08-23T00:00:00.000Z,2214,4389,2174
2021-08-24T00:00:00.000Z,3002,6296,3294
2021-08-25T00:00:00.000Z,2869,5988,3118
2021-08-26T00:00:00.000Z,3427,7797,4369
2021-08-27T00:00:00.000Z,2492,5415,2922
2021-08-28T00:00:00.000Z,1985,4341,2356
2021-08-29T00:00:00.000Z,3090,7138,4047
2021-08-30T00:00:00.000Z,3429,7438,4008
2021-08-31T00:00:00.000Z,3371,7421,4050
2021-09-01T00:00:00.000Z,4168,8861,4692
2021-09-02T00:00:00.000Z,3416,7525,4108
2021-09-03T00:00:00.000Z,3778,7527,3748
2021-09-04T00:00:00.000Z,1997,4149,2150
2021-09-05T00:00:00.000Z,10872,29452,18580
2021-09-06T00:00:00.000Z,4088,9695,5607
2021-09-07T00:00:00.000Z,3506,7415,3908
2021-09-08T00:00:00.000Z,3275,6965,3690
2021-09-09T00:00:00.000Z,3662,7985,4322
2021-09-10T00:00:00.000Z,2877,6194,3316
2021-09-11T00:00:00.000Z,2144,4492,2347
2021-09-12T00:00:00.000Z,7215,17686,10470
2021-09-13T00:00:00.000Z,3493,7763,4270
2021-09-14T00:00:00.000Z,3289,6632,3342
2021-09-15T00:00:00.000Z,3268,6791,3523
2021-09-16T00:00:00.000Z,3177,7709,4531
2021-09-17T00:00:00.000Z,3493,7213,3719
2021-09-18T00:00:00.000Z,2138,4726,2588
2021-09-19T00:00:00.000Z,3358,8254,4895
2021-09-20T00:00:00.000Z,3303,7222,3919
2021-09-21T00:00:00.000Z,2995,6732,3736
2021-09-22T00:00:00.000Z,2507,5029,2521
2021-09-23T00:00:00.000Z,3490,7613,4123
2021-09-24T00:00:00.000Z,3185,6652,3466
2021-09-25T00:00:00.000Z,4261,11087,6825
2021-09-26T00:00:00.000Z,3003,7053,4049
2021-09-27T00:00:00.000Z,3128,6911,3783
2021-09-28T00:00:00.000Z,3548,7256,3708
2021-09-29T00:00:00.000Z,3413,7065,3651
2021-09-30T00:00:00.000Z,4833,11577,6744
2021-10-01T00:00:00.000Z,4441,9144,4702
2021-10-02T00:00:00.000Z,6194,17228,11033
2021-10-03T00:00:00.000Z,3640,9645,6004
2021-10-04T00:00:00.000Z,3952,8932,4980
2021-10-05T00:00:00.000Z,4946,11217,6270
2021-10-06T00:00:00.000Z,3270,6966,3696
2021-10-07T00:00:00.000Z,2990,6440,3448
2021-10-08T00:00:00.000Z,3354,6498,3143
2021-10-09T00:00:00.000Z,6914,19491,12576
2021-10-10T00:00:00.000Z,1835,3923,2087
2021-10-11T00:00:00.000Z,3116,6423,3306
2021-10-12T00:00:00.000Z,4016,9345,5327
2021-10-13T00:00:00.000Z,2948,6053,3104
2021-10-14T00:00:00.000Z,3599,7173,3573
2021-10-15T00:00:00.000Z,3731,7036,3303
2021-10-16T00:00:00.000Z,11682,34206,22523
2021-10-17T00:00:00.000Z,1752,3727,1974
2021-10-18T00:00:00.000Z,3290,6825,3534
2021-10-19T00:00:00.000Z,3374,6919,3544
2021-10-20T00:00:00.000Z,3605,7918,4312
2021-10-21T00:00:00.000Z,3725,8153,4427
2021-10-22T00:00:00.000Z,2766,5903,3136
2021-10-23T00:00:00.000Z,7169,19894,12725
2021-10-24T00:00:00.000Z,2129,4989,2860
2021-10-25T00:00:00.000Z,3052,6065,3013
2021-10-26T00:00:00.000Z,3380,17896,14515
2021-10-27T00:00:00.000Z,2586,5204,2616
2021-10-28T00:00:00.000Z,4485,8218,3732
2021-10-29T00:00:00.000Z,2873,6003,3129
2021-10-30T00:00:00.000Z,9789,29448,19659
2021-10-31T00:00:00.000Z,2377,5018,2640
2021-11-01T00:00:00.000Z,2658,5426,2767
2021-11-02T00:00:00.000Z,3820,8266,4446
2021-11-03T00:00:00.000Z,3956,8619,4663
2021-11-04T00:00:00.000Z,3076,6312,3235
2021-11-05T00:00:00.000Z,2876,6094,3217
2021-11-06T00:00:00.000Z,7398,19928,12529
2021-11-07T00:00:00.000Z,1986,4143,2156
2021-11-08T00:00:00.000Z,3174,6670,3496
2021-11-09T00:00:00.000Z,2788,5636,2848
2021-11-10T00:00:00.000Z,2725,5587,2862
2021-11-11T00:00:00.000Z,1629,3238,1608
2021-11-12T00:00:00.000Z,2599,5225,2625
2021-11-13T00:00:00.000Z,2757,6647,3888
2021-11-14T00:00:00.000Z,2519,5602,3083
2021-11-15T00:00:00.000Z,3666,6777,3111
2021-11-16T00:00:00.000Z,3207,6480,3273
2021-11-17T00:00:00.000Z,2661,4853,2191
2021-11-18T00:00:00.000Z,3627,6717,3088
2021-11-19T00:00:00.000Z,3064,6386,3321
2021-11-20T00:00:00.000Z,9059,24817,15757
2021-11-21T00:00:00.000Z,1925,3774,1849
2021-11-22T00:00:00.000Z,3796,7788,3992
2021-11-23T00:00:00.000Z,3378,7104,3725
2021-11-24T00:00:00.000Z,3340,6846,3506
2021-11-25T00:00:00.000Z,3085,6265,3179
2021-11-26T00:00:00.000Z,2446,4797,2350
2021-11-27T00:00:00.000Z,5618,14294,8675
2021-11-28T00:00:00.000Z,2793,6381,3587
2021-11-29T00:00:00.000Z,3386,6675,3289
2021-11-30T00:00:00.000Z,4530,9354,4824
2021-12-01T00:00:00.000Z,4331,9046,4714
2021-12-02T00:00:00.000Z,3684,7759,4074
2021-12-03T00:00:00.000Z,3174,6564,3389
2021-12-04T00:00:00.000Z,8230,22143,13913
2021-12-05T00:00:00.000Z,1872,3703,1831
2021-12-06T00:00:00.000Z,3559,7244,3683
2021-12-07T00:00:00.000Z,3527,7150,3622
2021-12-08T00:00:00.000Z,3091,6366,3275
2021-12-09T00:00:00.000Z,2735,5462,2726
2021-12-10T00:00:00.000Z,3811,7883,4071
2021-12-11T00:00:00.000Z,1565,3115,1549
2021-12-12T00:00:00.000Z,1555,3366,1810
2021-12-13T00:00:00.000Z,5545,9820,4274
2021-12-14T00:00:00.000Z,3781,7426,3645
2021-12-15T00:00:00.000Z,3674,7978,4304
2021-12-16T00:00:00.000Z,3134,6615,3480
2021-12-17T00:00:00.000Z,5980,9456,3475
2021-12-18T00:00:00.000Z,3455,8776,5320
2021-12-19T00:00:00.000Z,1918,3973,2055
2021-12-20T00:00:00.000Z,2543,5055,2512
2021-12-21T00:00:00.000Z,3407,6964,3557
2021-12-22T00:00:00.000Z,2408,4702,2293
2021-12-23T00:00:00.000Z,2670,5703,3033
2021-12-24T00:00:00.000Z,1968,4082,2113
2021-12-25T00:00:00.000Z,10486,30750,20263
2021-12-26T00:00:00.000Z,1943,3940,1997
2021-12-27T00:00:00.000Z,2507,4970,2462
2021-12-28T00:00:00.000Z,4232,9250,5017
2021-12-29T00:00:00.000Z,2605,5197,2591
2021-12-30T00:00:00.000Z,3979,8774,4794
2021-12-31T00:00:00.000Z,3309,7009,3699
2022-01-01T00:00:00.000Z,7643,17604,9961
2022-01-02T00:00:00.000Z,3172,6665,3492
2022-01-03T00:00:00.000Z,3732,7678,3945
2022-01-04T00:00:00.000Z,4823,10739,5916
2022-01-05T00:00:00.000Z,3585,7495,3909
2022-01-06T00:00:00.000Z,2421,5076,2655
2022-01-07T00:00:00.000Z,3602,7773,4171
2022-01-08T00:00:00.000Z,9906,28713,18807
2022-01-09T00:00:00.000Z,3204,7467,4263
2022-01-10T00:00:00.000Z,3739,7823,4083
2022-01-11T00:00:00.000Z,4957,10355,5398
2022-01-12T00:00:00.000Z,4815,10239,5423
2022-01-13T00:00:00.000Z,2995,5960,2964
2022-01-14T00:00:00.000Z,3302,6658,3356
2022-01-15T00:00:00.000Z,6038,19782,13743
2022-01-16T00:00:00.000Z,7224,18994,11768
2022-01-17T00:00:00.000Z,2849,5757,2907
2022-01-18T00:00:00.000Z,4392,9766,5374
2022-01-19T00:00:00.000Z,10867,18154,7286
2022-01-20T00:00:00.000Z,7645,14349,6703
2022-01-21T00:00:00.000Z,5701,10691,4990
2022-01-22T00:00:00.000Z,9759,25852,16092
2022-01-23T00:00:00.000Z,2931,6604,3673
2022-01-24T00:00:00.000Z,3844,7778,3934
2022-01-25T00:00:00.000Z,3666,7567,3900
2022-01-26T00:00:00.000Z,4057,8459,4401
2022-01-27T00:00:00.000Z,3829,8068,4238
2022-01-28T00:00:00.000Z,3576,7390,3814
2022-01-29T00:00:00.000Z,7340,20064,12724
2022-01-30T00:00:00.000Z,2801,6047,3244
2022-01-31T00:00:00.000Z,3778,8245,4466
2022-02-01T00:00:00.000Z,4183,8030,3846
2022-02-02T00:00:00.000Z,3061,6244,3183
2022-02-03T00:00:00.000Z,3746,7915,4167
2022-02-04T00:00:00.000Z,3623,7607,3984
2022-02-05T00:00:00.000Z,6646,16575,9928
2022-02-06T00:00:00.000Z,2955,6385,3428
2022-02-07T00:00:00.000Z,2957,5616,2658
2022-02-08T00:00:00.000Z,3359,6745,3385
2022-02-09T00:00:00.000Z,5180,11547,6367
2022-02-10T00:00:00.000Z,4410,9664,5254
2022-02-11T00:00:00.000Z,3253,6574,3320
2022-02-12T00:00:00.000Z,12816,35520,22703
2022-02-13T00:00:00.000Z,2727,5668,2940
2022-02-14T00:00:00.000Z,5806,13428,7621
2022-02-15T00:00:00.000Z,4375,9286,4910
2022-02-16T00:00:00.000Z,3554,7640,4086
2022-02-17T00:00:00.000Z,5290,11641,6350
2022-02-18T00:00:00.000Z,4435,9660,5223
2022-02-19T00:00:00.000Z,10093,25768,15675
2022-02-20T00:00:00.000Z,2520,5285,2763
2022-02-21T00:00:00.000Z,3269,6943,3674
2022-02-22T00:00:00.000Z,5030,10946,5915
2022-02-23T00:00:00.000Z,3965,8383,4418
2022-02-24T00:00:00.000Z,3357,7126,3769
2022-02-25T00:00:00.000Z,6179,9214,3034
2022-02-26T00:00:00.000Z,9159,23706,14546
2022-02-27T00:00:00.000Z,2335,4821,2485
2022-02-28T00:00:00.000Z,4811,10749,5938
2022-03-01T00:00:00.000Z,4779,9978,5198
2022-03-02T00:00:00.000Z,4077,8749,4671
2022-03-03T00:00:00.000Z,3795,8157,4362
2022-03-04T00:00:00.000Z,3623,7671,4047
2022-03-05T00:00:00.000Z,7544,22367,14823
2022-03-06T00:00:00.000Z,1949,3928,1978
2022-03-07T00:00:00.000Z,3716,8317,4600
2022-03-08T00:00:00.000Z,2872,5937,3064
2022-03-09T00:00:00.000Z,2573,5232,2658
2022-03-10T00:00:00.000Z,3215,6944,3728
2022-03-11T00:00:00.000Z,4292,8684,4392
2022-03-12T00:00:00.000Z,4871,12707,7835
2022-03-13T00:00:00.000Z,2259,4880,2621
2022-03-14T00:00:00.000Z,2934,6582,3648
2022-03-15T00:00:00.000Z,2887,6544,3655
2022-03-16T00:00:00.000Z,2853,7220,4366
2022-03-17T00:00:00.000Z,3342,7439,4095
2022-03-18T00:00:00.000Z,4588,10861,6273
2022-03-19T00:00:00.000Z,7168,18886,11717
2022-03-20T00:00:00.000Z,1991,4028,2036
2022-03-21T00:00:00.000Z,3435,7028,3592
2022-03-22T00:00:00.000Z,3769,7817,4048
2022-03-23T00:00:00.000Z,3311,6876,3564
2022-03-24T00:00:00.000Z,3509,7735,4225
2022-03-25T00:00:00.000Z,3351,7232,3881
2022-03-26T00:00:00.000Z,3677,7816,4138
2022-03-27T00:00:00.000Z,2930,7155,4224
2022-03-28T00:00:00.000Z,4442,10320,5877
2022-03-29T00:00:00.000Z,3849,8535,4685
2022-03-30T00:00:00.000Z,4949,11388,6438
2022-03-31T00:00:00.000Z,11786,16699,4912
2022-04-01T00:00:00.000Z,30325,32619,2293
2022-04-02T00:00:00.000Z,3913,8337,4423
2022-04-03T00:00:00.000Z,2790,6092,3302
2022-04-04T00:00:00.000Z,3840,8835,4994
2022-04-05T00:00:00.000Z,2883,5834,2951
2022-04-06T00:00:00.000Z,3199,6667,3467
2022-04-07T00:00:00.000Z,3616,7628,4011
2022-04-08T00:00:00.000Z,3346,7016,3669
2022-04-09T00:00:00.000Z,4381,10287,5906
2022-04-10T00:00:00.000Z,2096,4294,2197
2022-04-11T00:00:00.000Z,3261,6594,3332
2022-04-12T00:00:00.000Z,3349,6852,3502
2022-04-13T00:00:00.000Z,,,
