Time,Read rate for R04_n2,Usage for R04_n2,Write rate for R04_n2
2021-04-14T00:00:00.000Z,4600,6568,1968
2021-04-15T00:00:00.000Z,6912,10325,3412
2021-04-16T00:00:00.000Z,6376,8952,2575
2021-04-17T00:00:00.000Z,4589,6411,1821
2021-04-18T00:00:00.000Z,7824,17724,9899
2021-04-19T00:00:00.000Z,5628,8988,3359
2021-04-20T00:00:00.000Z,5606,9051,3443
2021-04-21T00:00:00.000Z,5263,8295,3031
2021-04-22T00:00:00.000Z,5257,8125,2867
2021-04-23T00:00:00.000Z,5104,8037,2933
2021-04-24T00:00:00.000Z,3528,4533,1005
2021-04-25T00:00:00.000Z,3469,4918,1448
2021-04-26T00:00:00.000Z,5245,8156,2910
2021-04-27T00:00:00.000Z,11951,15839,3887
2021-04-28T00:00:00.000Z,8339,11659,3320
2021-04-29T00:00:00.000Z,10361,15172,4810
2021-04-30T00:00:00.000Z,9996,14963,4966
2021-05-01T00:00:00.000Z,7610,12394,4783
2021-05-02T00:00:00.000Z,8133,16952,8818
2021-05-03T00:00:00.000Z,4254,6369,2115
2021-05-04T00:00:00.000Z,6441,10635,4193
2021-05-05T00:00:00.000Z,9547,14218,4670
2021-05-06T00:00:00.000Z,12792,19504,6711
2021-05-07T00:00:00.000Z,7007,11686,4678
2021-05-08T00:00:00.000Z,4075,5678,1602
2021-05-09T00:00:00.000Z,6117,12431,6313
2021-05-10T00:00:00.000Z,6104,9439,3334
2021-05-11T00:00:00.000Z,6529,10696,4166
2021-05-12T00:00:00.000Z,5030,7300,2270
2021-05-13T00:00:00.000Z,10467,13375,2907
2021-05-14T00:00:00.000Z,5691,9141,3449
2021-05-15T00:00:00.000Z,5074,6715,1640
2021-05-16T00:00:00.000Z,6140,10580,4439
2021-05-17T00:00:00.000Z,5040,7873,2832
2021-05-18T00:00:00.000Z,6026,9307,3281
2021-05-19T00:00:00.000Z,5489,8701,3212
2021-05-20T00:00:00.000Z,4993,7246,2252
2021-05-21T00:00:00.000Z,7503,9889,2385
2021-05-22T00:00:00.000Z,4185,5778,1593
2021-05-23T00:00:00.000Z,5568,11577,6008
2021-05-24T00:00:00.000Z,5178,7834,2655
2021-05-25T00:00:00.000Z,6945,12652,5707
2021-05-26T00:00:00.000Z,6087,12008,5920
2021-05-27T00:00:00.000Z,7187,11746,4558
2021-05-28T00:00:00.000Z,6144,9538,3393
2021-05-29T00:00:00.000Z,4205,6295,2090
2021-05-30T00:00:00.000Z,4669,7509,2840
2021-05-31T00:00:00.000Z,6465,10297,3831
2021-06-01T00:00:00.000Z,6832,10566,3733
2021-06-02T00:00:00.000Z,7211,11894,4682
2021-06-03T00:00:00.000Z,4388,6030,1642
2021-06-04T00:00:00.000Z,4807,7015,2207
2021-06-05T00:00:00.000Z,3631,4543,912
2021-06-06T00:00:00.000Z,6759,13847,7087
2021-06-07T00:00:00.000Z,9151,14151,5000
2021-06-08T00:00:00.000Z,7780,10985,3204
2021-06-09T00:00:00.000Z,7317,10592,3274
2021-06-10T00:00:00.000Z,6038,8555,2516
2021-06-11T00:00:00.000Z,5560,8885,3324
2021-06-12T00:00:00.000Z,4418,6354,1936
2021-06-13T00:00:00.000Z,4533,6864,2330
2021-06-14T00:00:00.000Z,5395,8043,2646
2021-06-15T00:00:00.000Z,5608,8124,2515
2021-06-16T00:00:00.000Z,7038,10680,3640
2021-06-17T00:00:00.000Z,6779,9338,2559
2021-06-18T00:00:00.000Z,4783,6900,2117
2021-06-19T00:00:00.000Z,3461,4133,671
2021-06-20T00:00:00.000Z,4111,5458,1346
2021-06-21T00:00:00.000Z,9962,13315,3352
2021-06-22T00:00:00.000Z,4881,7043,2161
2021-06-23T00:00:00.000Z,5083,6258,1175
2021-06-24T00:00:00.000Z,4742,6058,1315
2021-06-25T00:00:00.000Z,5686,9120,3433
2021-06-26T00:00:00.000Z,4951,6754,1803
2021-06-27T00:00:00.000Z,10843,25016,14172
2021-06-28T00:00:00.000Z,6727,10879,4151
2021-06-29T00:00:00.000Z,7453,11373,3920
2021-06-30T00:00:00.000Z,8020,12340,4320
2021-07-01T00:00:00.000Z,7580,11576,3995
2021-07-02T00:00:00.000Z,7418,12118,4700
2021-07-03T00:00:00.000Z,4253,6114,1860
2021-07-04T00:00:00.000Z,6670,13939,7268
2021-07-05T00:00:00.000Z,6268,10842,4574
2021-07-06T00:00:00.000Z,5116,7070,1953
2021-07-07T00:00:00.000Z,21639,25033,3394
2021-07-08T00:00:00.000Z,15746,18577,2830
2021-07-09T00:00:00.000Z,6119,9393,3273
2021-07-10T00:00:00.000Z,20184,22794,2609
2021-07-11T00:00:00.000Z,17671,18944,1273
2021-07-12T00:00:00.000Z,18435,21708,3273
2021-07-13T00:00:00.000Z,7558,11509,3950
2021-07-14T00:00:00.000Z,12032,15237,3204
2021-07-15T00:00:00.000Z,5128,8026,2898
2021-07-16T00:00:00.000Z,10459,12919,2460
2021-07-17T00:00:00.000Z,9558,11630,2072
2021-07-18T00:00:00.000Z,8290,9623,1332
2021-07-19T00:00:00.000Z,12811,15075,2263
2021-07-20T00:00:00.000Z,8203,10512,2309
2021-07-21T00:00:00.000Z,10486,13302,2815
2021-07-22T00:00:00.000Z,10271,12613,2341
2021-07-23T00:00:00.000Z,10554,12565,2011
2021-07-24T00:00:00.000Z,10437,14193,3756
2021-07-25T00:00:00.000Z,12287,21501,9213
2021-07-26T00:00:00.000Z,8772,11070,2298
2021-07-27T00:00:00.000Z,9788,12770,2981
2021-07-28T00:00:00.000Z,10936,14188,3252
2021-07-29T00:00:00.000Z,11122,14303,3180
2021-07-30T00:00:00.000Z,14865,21566,6701
2021-07-31T00:00:00.000Z,15034,19791,4756
2021-08-01T00:00:00.000Z,12208,15610,3402
2021-08-02T00:00:00.000Z,12755,19189,6434
2021-08-03T00:00:00.000Z,11110,14824,3714
2021-08-04T00:00:00.000Z,13513,18186,4673
2021-08-05T00:00:00.000Z,12490,15850,3359
2021-08-06T00:00:00.000Z,11096,13721,2624
2021-08-07T00:00:00.000Z,9912,11486,1573
2021-08-08T00:00:00.000Z,9573,11480,1906
2021-08-09T00:00:00.000Z,10035,13832,3797
2021-08-10T00:00:00.000Z,15695,20736,5040
2021-08-11T00:00:00.000Z,6909,10920,4010
2021-08-12T00:00:00.000Z,13821,17781,3959
2021-08-13T00:00:00.000Z,10250,12753,2502
2021-08-14T00:00:00.000Z,8020,8845,825
2021-08-15T00:00:00.000Z,3871,4807,935
2021-08-16T00:00:00.000Z,11128,14176,3048
2021-08-17T00:00:00.000Z,18708,22672,3963
2021-08-18T00:00:00.000Z,15292,20253,4960
2021-08-19T00:00:00.000Z,11144,14015,2870
2021-08-20T00:00:00.000Z,10765,14529,3763
2021-08-21T00:00:00.000Z,3887,4849,962
2021-08-22T00:00:00.000Z,10979,16708,5729
2021-08-23T00:00:00.000Z,26874,32330,5455
2021-08-24T00:00:00.000Z,13302,17488,4185
2021-08-25T00:00:00.000Z,6769,10424,3655
2021-08-26T00:00:00.000Z,12286,16199,3912
2021-08-27T00:00:00.000Z,12493,15197,2703
2021-08-28T00:00:00.000Z,9073,11267,2193
2021-08-29T00:00:00.000Z,10251,15871,5620
2021-08-30T00:00:00.000Z,9732,16201,6469
2021-08-31T00:00:00.000Z,9027,14623,5595
2021-09-01T00:00:00.000Z,10899,18160,7261
2021-09-02T00:00:00.000Z,8707,12645,3938
2021-09-03T00:00:00.000Z,20067,23881,3814
2021-09-04T00:00:00.000Z,19436,22044,2609
2021-09-05T00:00:00.000Z,67213,78919,11706
2021-09-06T00:00:00.000Z,35191,45531,10340
2021-09-07T00:00:00.000Z,31634,38623,6989
2021-09-08T00:00:00.000Z,28826,32867,4040
2021-09-09T00:00:00.000Z,19298,24401,5103
2021-09-10T00:00:00.000Z,26948,49187,22238
2021-09-11T00:00:00.000Z,29129,32105,2975
2021-09-12T00:00:00.000Z,28853,35376,6521
2021-09-13T00:00:00.000Z,27069,30839,3769
2021-09-14T00:00:00.000Z,26284,31877,5592
2021-09-15T00:00:00.000Z,29211,34595,5383
2021-09-16T00:00:00.000Z,23800,27406,3604
