Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-05-27T00:00:00.000Z,3943,1595,986,1336,0,23,0,1013,273,717,0,0,21,1,4956,1868,1704,1336,0,45,1
2021-05-28T00:00:00.000Z,4064,1427,1442,1168,0,24,0,858,276,559,0,0,21,1,4923,1704,2002,1168,0,45,1
2021-05-29T00:00:00.000Z,1300,406,683,184,0,23,0,706,223,461,0,0,21,1,2007,630,1145,184,0,44,1
2021-05-30T00:00:00.000Z,4494,471,3709,243,0,23,46,726,227,476,0,0,20,1,5220,698,4186,243,0,44,47
2021-05-31T00:00:00.000Z,19268,2017,15461,1736,0,23,28,1009,271,715,0,0,21,1,20278,2288,16177,1736,0,44,29
2021-06-01T00:00:00.000Z,5406,1975,1662,1712,0,23,30,1062,278,761,0,0,21,1,6468,2254,2424,1712,0,44,31
2021-06-02T00:00:00.000Z,4000,1514,1172,1283,0,24,4,845,236,586,0,0,21,1,4845,1751,1758,1283,0,45,5
2021-06-03T00:00:00.000Z,1054,434,383,211,0,23,0,877,224,631,0,0,21,1,1932,658,1014,211,0,44,1
2021-06-04T00:00:00.000Z,7930,3614,925,3364,0,24,0,816,269,521,0,0,24,1,8747,3884,1447,3364,0,49,1
2021-06-05T00:00:00.000Z,2005,360,1471,147,0,24,0,696,227,447,0,0,21,1,2702,587,1919,147,0,44,1
2021-06-06T00:00:00.000Z,4627,407,3947,197,0,23,50,715,229,463,0,0,20,1,5342,636,4411,197,0,44,51
2021-06-07T00:00:00.000Z,26101,1739,22841,1486,0,25,7,1044,267,751,0,0,25,1,27146,2006,23593,1486,0,50,8
2021-06-08T00:00:00.000Z,4273,1440,1614,1152,0,23,41,913,278,612,0,0,21,1,5186,1718,2227,1152,0,44,42
2021-06-09T00:00:00.000Z,3631,1447,953,1205,0,24,0,809,233,552,0,0,21,1,4441,1681,1506,1205,0,45,1
2021-06-10T00:00:00.000Z,3804,1330,1286,1122,0,23,39,876,224,629,0,0,21,1,4680,1555,1916,1122,0,44,40
2021-06-11T00:00:00.000Z,2856,1171,687,972,0,23,0,754,218,512,0,0,21,1,3610,1390,1200,972,0,44,1
2021-06-12T00:00:00.000Z,1423,398,780,182,0,23,37,697,217,458,0,0,21,1,2121,616,1239,182,0,45,38
2021-06-13T00:00:00.000Z,1861,417,1153,200,0,27,60,721,222,473,0,0,24,1,2582,640,1627,200,0,51,61
2021-06-14T00:00:00.000Z,3283,1257,941,1025,0,24,34,824,259,542,0,0,21,1,4108,1516,1484,1025,0,45,35
2021-06-15T00:00:00.000Z,3173,1283,768,1052,0,23,44,813,236,554,0,0,21,1,3987,1519,1323,1052,0,44,45
2021-06-16T00:00:00.000Z,4102,1336,1624,1106,0,23,10,777,212,542,0,0,21,1,4879,1548,2166,1106,0,45,11
2021-06-17T00:00:00.000Z,3221,1234,880,1036,0,24,45,915,223,669,0,0,21,1,4136,1458,1549,1036,0,45,46
2021-06-18T00:00:00.000Z,2935,1127,850,924,0,23,9,746,214,509,0,0,21,1,3682,1341,1359,924,0,44,10
2021-06-19T00:00:00.000Z,938,375,345,159,0,23,34,691,216,452,0,0,21,1,1630,591,798,159,0,45,35
2021-06-20T00:00:00.000Z,824,389,242,167,0,24,0,684,217,444,0,0,21,1,1509,606,687,167,0,45,1
2021-06-21T00:00:00.000Z,3838,1380,1264,1137,0,23,31,821,241,558,0,0,21,1,4659,1621,1822,1137,0,44,32
2021-06-22T00:00:00.000Z,3253,1653,166,1407,0,24,0,808,241,544,0,0,21,1,4062,1895,710,1407,0,46,1
2021-06-23T00:00:00.000Z,3208,1360,661,1120,0,23,42,799,231,545,0,0,21,1,4008,1591,1207,1120,0,45,43
2021-06-24T00:00:00.000Z,2655,1398,109,1122,0,24,0,919,280,616,0,0,21,1,3575,1679,725,1122,0,45,1
