Time,Data receive rate for S_n4,Data transmit rate for S_n4,Usage for S_n4
2022-03-14T12:00:00.000Z,13307,13944,27253
2022-03-14T14:00:00.000Z,7083,5428,12511
2022-03-14T16:00:00.000Z,2327,2074,4401
2022-03-14T18:00:00.000Z,1499,11543,13043
2022-03-14T20:00:00.000Z,1454,4133,5587
2022-03-14T22:00:00.000Z,716,1792,2509
2022-03-15T00:00:00.000Z,292,1267,1559
2022-03-15T02:00:00.000Z,176,656,833
2022-03-15T04:00:00.000Z,379,497,876
2022-03-15T06:00:00.000Z,5453,7883,13336
2022-03-15T08:00:00.000Z,12510,14186,26696
2022-03-15T10:00:00.000Z,14271,22188,36460
2022-03-15T12:00:00.000Z,12734,19191,31926
2022-03-15T14:00:00.000Z,6504,5904,12409
2022-03-15T16:00:00.000Z,2186,2244,4430
2022-03-15T18:00:00.000Z,1401,3033,4434
2022-03-15T20:00:00.000Z,1093,4012,5105
2022-03-15T22:00:00.000Z,820,9926,10747
2022-03-16T00:00:00.000Z,481,1516,1998
2022-03-16T02:00:00.000Z,170,333,504
2022-03-16T04:00:00.000Z,431,4279,4712
2022-03-16T06:00:00.000Z,5528,19424,24953
2022-03-16T08:00:00.000Z,20314,19612,39926
2022-03-16T10:00:00.000Z,19853,23471,43324
2022-03-16T12:00:00.000Z,11963,15896,27860
2022-03-16T14:00:00.000Z,7423,6782,14206
2022-03-16T16:00:00.000Z,1669,2014,3683
2022-03-16T18:00:00.000Z,1349,3631,4981
2022-03-16T20:00:00.000Z,871,2466,3337
2022-03-16T22:00:00.000Z,1047,18329,19377
2022-03-17T00:00:00.000Z,437,525,963
2022-03-17T02:00:00.000Z,122,1505,1627
2022-03-17T04:00:00.000Z,496,17219,17716
2022-03-17T06:00:00.000Z,4796,7912,12709
2022-03-17T08:00:00.000Z,14403,19966,34369
2022-03-17T10:00:00.000Z,14298,23806,38105
2022-03-17T12:00:00.000Z,11611,14719,26330
2022-03-17T14:00:00.000Z,6027,5419,11447
2022-03-17T16:00:00.000Z,1542,1438,2980
2022-03-17T18:00:00.000Z,1028,3139,4167
2022-03-17T20:00:00.000Z,1174,2753,3928
2022-03-17T22:00:00.000Z,781,1612,2394
2022-03-18T00:00:00.000Z,183,556,739
2022-03-18T02:00:00.000Z,116,1412,1529
2022-03-18T04:00:00.000Z,456,14467,14924
2022-03-18T06:00:00.000Z,4578,8379,12957
2022-03-18T08:00:00.000Z,11057,15029,26087
2022-03-18T10:00:00.000Z,10928,9489,20418
2022-03-18T12:00:00.000Z,10359,12904,23264
