Time,Data receive rate for S_n2,Data transmit rate for S_n2,Usage for S_n2
2022-03-14T12:00:00.000Z,21445,60215,81660
2022-03-14T14:00:00.000Z,12967,15207,28176
2022-03-14T16:00:00.000Z,3790,5288,9079
2022-03-14T18:00:00.000Z,2350,7298,9649
2022-03-14T20:00:00.000Z,2081,14643,16724
2022-03-14T22:00:00.000Z,1064,1701,2766
2022-03-15T00:00:00.000Z,434,4946,5380
2022-03-15T02:00:00.000Z,110,155,266
2022-03-15T04:00:00.000Z,576,582,1159
2022-03-15T06:00:00.000Z,9427,11457,20884
2022-03-15T08:00:00.000Z,22206,24760,46967
2022-03-15T10:00:00.000Z,25787,31817,57604
2022-03-15T12:00:00.000Z,22964,29583,52548
2022-03-15T14:00:00.000Z,11141,16346,27488
2022-03-15T16:00:00.000Z,3655,4526,8182
2022-03-15T18:00:00.000Z,2483,6666,9150
2022-03-15T20:00:00.000Z,1744,2431,4176
2022-03-15T22:00:00.000Z,1036,1110,2146
2022-03-16T00:00:00.000Z,419,9881,10300
2022-03-16T02:00:00.000Z,146,122,269
2022-03-16T04:00:00.000Z,423,513,937
2022-03-16T06:00:00.000Z,9703,14981,24685
2022-03-16T08:00:00.000Z,23611,45098,68710
2022-03-16T10:00:00.000Z,22300,39118,61418
2022-03-16T12:00:00.000Z,21861,50462,72324
2022-03-16T14:00:00.000Z,11826,15325,27152
2022-03-16T16:00:00.000Z,2859,2825,5684
2022-03-16T18:00:00.000Z,2314,5401,7715
2022-03-16T20:00:00.000Z,1246,1735,2982
2022-03-16T22:00:00.000Z,1205,647,1852
2022-03-17T00:00:00.000Z,651,8912,9564
2022-03-17T02:00:00.000Z,106,127,233
2022-03-17T04:00:00.000Z,482,498,981
2022-03-17T06:00:00.000Z,8418,12093,20512
2022-03-17T08:00:00.000Z,22035,24306,46342
2022-03-17T10:00:00.000Z,27228,29625,56854
2022-03-17T12:00:00.000Z,20990,24410,45402
2022-03-17T14:00:00.000Z,9825,11244,21069
2022-03-17T16:00:00.000Z,7612,13098,20710
2022-03-17T18:00:00.000Z,1624,5566,7191
2022-03-17T20:00:00.000Z,1902,1854,3756
2022-03-17T22:00:00.000Z,988,815,1804
2022-03-18T00:00:00.000Z,312,5335,5648
2022-03-18T02:00:00.000Z,184,79,264
2022-03-18T04:00:00.000Z,441,366,807
2022-03-18T06:00:00.000Z,8657,10802,19460
2022-03-18T08:00:00.000Z,19105,42258,61364
2022-03-18T10:00:00.000Z,19052,39878,58930
2022-03-18T12:00:00.000Z,18591,31396,49988
2022-03-18T14:00:00.000Z,8209,24364,32573
2022-03-18T16:00:00.000Z,11780,3265,15045
2022-03-18T18:00:00.000Z,1217,6227,7444
2022-03-18T20:00:00.000Z,911,848,1760
2022-03-18T22:00:00.000Z,1406,909,2316
2022-03-19T00:00:00.000Z,322,16441,16764
