Time,Data receive rate for S_n1,Data transmit rate for S_n1,Usage for S_n1
2022-03-24T18:00:00.000Z,8301,10207,18508
2022-03-24T20:00:00.000Z,15272,6120,21393
2022-03-24T22:00:00.000Z,32706,18764,51471
2022-03-25T00:00:00.000Z,15760,10002,25763
2022-03-25T02:00:00.000Z,35258,36789,72047
2022-03-25T04:00:00.000Z,74730,75644,150374
2022-03-25T06:00:00.000Z,63988,64785,128774
2022-03-25T08:00:00.000Z,5625,5253,10879
2022-03-25T10:00:00.000Z,19504,9167,28672
2022-03-25T12:00:00.000Z,64879,14452,79332
2022-03-25T14:00:00.000Z,57936,7025,64962
2022-03-25T16:00:00.000Z,8429,14679,23108
2022-03-25T18:00:00.000Z,83069,10354,93424
2022-03-25T20:00:00.000Z,3130,3754,6886
2022-03-25T22:00:00.000Z,12761,1758,14520
2022-03-26T00:00:00.000Z,32826,38229,71055
2022-03-26T02:00:00.000Z,45764,53722,99486
2022-03-26T04:00:00.000Z,88231,89634,177865
2022-03-26T06:00:00.000Z,85882,86452,172335
2022-03-26T08:00:00.000Z,13892,14614,28506
2022-03-26T10:00:00.000Z,608,579,1187
2022-03-26T12:00:00.000Z,677,355,1033
2022-03-26T14:00:00.000Z,593,1085,1679
2022-03-26T16:00:00.000Z,349,250,599
2022-03-26T18:00:00.000Z,5839,9180,15020
2022-03-26T20:00:00.000Z,2817,3945,6762
2022-03-26T22:00:00.000Z,1715,57419,59135
2022-03-27T00:00:00.000Z,5091,34946,40038
2022-03-27T02:00:00.000Z,224,258,483
2022-03-27T04:00:00.000Z,303,192,496
2022-03-27T06:00:00.000Z,353,181,534
2022-03-27T08:00:00.000Z,511,270,781
2022-03-27T10:00:00.000Z,473,294,768
2022-03-27T12:00:00.000Z,612,312,925
2022-03-27T14:00:00.000Z,472,1418,1890
2022-03-27T16:00:00.000Z,403,461,864
2022-03-27T18:00:00.000Z,5618,10298,15917
2022-03-27T20:00:00.000Z,3353,4528,7882
2022-03-27T22:00:00.000Z,6034,25285,31320
2022-03-28T00:00:00.000Z,892,5697,6590
2022-03-28T02:00:00.000Z,1945,2528,4474
2022-03-28T04:00:00.000Z,928,1193,2123
2022-03-28T06:00:00.000Z,4181,4766,8948
2022-03-28T08:00:00.000Z,3329,3884,7214
2022-03-28T10:00:00.000Z,3298,3898,7198
2022-03-28T12:00:00.000Z,3163,3551,6715
2022-03-28T14:00:00.000Z,975,38033,39008
2022-03-28T16:00:00.000Z,470,467,938
2022-03-28T18:00:00.000Z,12243,25953,38196
2022-03-28T20:00:00.000Z,4038,5889,9927
2022-03-28T22:00:00.000Z,1791,69540,71332
2022-03-29T00:00:00.000Z,25020,27210,52231
2022-03-29T02:00:00.000Z,12235,12511,24746
2022-03-29T04:00:00.000Z,1098,781,1880
2022-03-29T06:00:00.000Z,3190,3894,7085
2022-03-29T08:00:00.000Z,3988,4247,8236
2022-03-29T10:00:00.000Z,3897,3167,7065
2022-03-29T12:00:00.000Z,2717,2478,5196
2022-03-29T14:00:00.000Z,1253,103723,104978
2022-03-29T16:00:00.000Z,557,484,1042
2022-03-29T18:00:00.000Z,3544,5495,9040
2022-03-29T20:00:00.000Z,3854,5716,9570
2022-03-29T22:00:00.000Z,5716,31380,37097
2022-03-30T00:00:00.000Z,18015,21057,39073
2022-03-30T02:00:00.000Z,11787,11975,23763
2022-03-30T04:00:00.000Z,656,640,1296
2022-03-30T06:00:00.000Z,2698,2727,5425
2022-03-30T08:00:00.000Z,3425,3170,6595
2022-03-30T10:00:00.000Z,2725,2898,5624
2022-03-30T12:00:00.000Z,2546,2467,5014
2022-03-30T14:00:00.000Z,1120,1855,2976
2022-03-30T16:00:00.000Z,616,609,1226
2022-03-30T18:00:00.000Z,3554,6919,10473
