Time,Data receive rate for S_n2,Data transmit rate for S_n2,Usage for S_n2
2021-04-14T00:00:00.000Z,2481,7879,10360
2021-04-15T00:00:00.000Z,3827,13051,16879
2021-04-16T00:00:00.000Z,6558,8412,14970
2021-04-17T00:00:00.000Z,792,6623,7417
2021-04-18T00:00:00.000Z,763,7739,8502
2021-04-19T00:00:00.000Z,3972,9352,13325
2021-04-20T00:00:00.000Z,10211,12271,22482
2021-04-21T00:00:00.000Z,2359,9486,11846
2021-04-22T00:00:00.000Z,1621,9729,11352
2021-04-23T00:00:00.000Z,1312,8374,9687
2021-04-24T00:00:00.000Z,835,8057,8893
2021-04-25T00:00:00.000Z,787,7416,8203
2021-04-26T00:00:00.000Z,1232,9646,10879
2021-04-27T00:00:00.000Z,1124,7632,8756
2021-04-28T00:00:00.000Z,1240,8476,9717
2021-04-29T00:00:00.000Z,1323,8225,9548
2021-04-30T00:00:00.000Z,1319,8947,10267
2021-05-01T00:00:00.000Z,821,7915,8736
2021-05-02T00:00:00.000Z,773,7536,8309
2021-05-03T00:00:00.000Z,1351,8232,9584
2021-05-04T00:00:00.000Z,3473,10691,14165
2021-05-05T00:00:00.000Z,1274,8141,9416
2021-05-06T00:00:00.000Z,1213,8229,9444
2021-05-07T00:00:00.000Z,1387,8357,9744
2021-05-08T00:00:00.000Z,955,7363,8319
2021-05-09T00:00:00.000Z,2685,7832,10518
2021-05-10T00:00:00.000Z,12351,8504,20855
2021-05-11T00:00:00.000Z,1502,7800,9302
2021-05-12T00:00:00.000Z,3544,8041,11586
2021-05-13T00:00:00.000Z,3481,8437,11919
2021-05-14T00:00:00.000Z,3389,7797,11187
2021-05-15T00:00:00.000Z,17270,17283,34554
2021-05-16T00:00:00.000Z,9560,10136,19696
2021-05-17T00:00:00.000Z,18228,10769,28998
2021-05-18T00:00:00.000Z,24746,12644,37391
2021-05-19T00:00:00.000Z,16674,14738,31412
2021-05-20T00:00:00.000Z,9970,11822,21793
2021-05-21T00:00:00.000Z,9011,9515,18526
2021-05-22T00:00:00.000Z,956,7844,8801
2021-05-23T00:00:00.000Z,930,7542,8472
2021-05-24T00:00:00.000Z,3822,7882,11705
2021-05-25T00:00:00.000Z,18288,8968,27257
2021-05-26T00:00:00.000Z,2571,13647,16219
2021-05-27T00:00:00.000Z,5313,9536,14849
2021-05-28T00:00:00.000Z,13617,10897,24515
2021-05-29T00:00:00.000Z,940,8541,9481
2021-05-30T00:00:00.000Z,940,7932,8873
2021-05-31T00:00:00.000Z,1452,8622,10074
2021-06-01T00:00:00.000Z,10223,24790,35013
2021-06-02T00:00:00.000Z,7158,23089,30247
2021-06-03T00:00:00.000Z,5185,25146,30332
2021-06-04T00:00:00.000Z,14235,9647,23883
2021-06-05T00:00:00.000Z,70,6445,6515
2021-06-06T00:00:00.000Z,129,6940,7070
2021-06-07T00:00:00.000Z,10477,9653,20130
2021-06-08T00:00:00.000Z,1280,11659,12939
2021-06-09T00:00:00.000Z,5265,21309,26575
2021-06-10T00:00:00.000Z,6610,24934,31545
2021-06-11T00:00:00.000Z,8934,9085,18020
2021-06-12T00:00:00.000Z,810,8084,8895
2021-06-13T00:00:00.000Z,824,8279,9104
2021-06-14T00:00:00.000Z,1522,9607,11130
2021-06-15T00:00:00.000Z,1405,22991,24396
2021-06-16T00:00:00.000Z,9518,17530,27048
2021-06-17T00:00:00.000Z,4712,130393,135106
2021-06-18T00:00:00.000Z,4160,37044,41205
2021-06-19T00:00:00.000Z,25667,222287,247955
2021-06-20T00:00:00.000Z,965,13835,14801
2021-06-21T00:00:00.000Z,1221,13507,14729
2021-06-22T00:00:00.000Z,1452,14976,16429
2021-06-23T00:00:00.000Z,4718,32991,37709
2021-06-24T00:00:00.000Z,1762,23291,25054
2021-06-25T00:00:00.000Z,6849,17294,24144
2021-06-26T00:00:00.000Z,1320,119750,121071
2021-06-27T00:00:00.000Z,3361,13991,17352
2021-06-28T00:00:00.000Z,33071,11479,44551
2021-06-29T00:00:00.000Z,81401,13110,94512
2021-06-30T00:00:00.000Z,57821,13473,71294
2021-07-01T00:00:00.000Z,4668,135863,140531
2021-07-02T00:00:00.000Z,2910,24753,27664
2021-07-03T00:00:00.000Z,1910,18550,20460
2021-07-04T00:00:00.000Z,1291,17445,18736
2021-07-05T00:00:00.000Z,1339,13358,14697
2021-07-06T00:00:00.000Z,1553,16915,18468
2021-07-07T00:00:00.000Z,2860,17312,20173
2021-07-08T00:00:00.000Z,5316,20613,25929
2021-07-09T00:00:00.000Z,3641,119482,123123
2021-07-10T00:00:00.000Z,1313,17361,18675
2021-07-11T00:00:00.000Z,1065,13709,14775
2021-07-12T00:00:00.000Z,2683,13716,16400
2021-07-13T00:00:00.000Z,3508,37055,40564
2021-07-14T00:00:00.000Z,3780,38116,41897
2021-07-15T00:00:00.000Z,4084,108572,112657
2021-07-16T00:00:00.000Z,7136,17614,24750
2021-07-17T00:00:00.000Z,754,25875,26630
2021-07-18T00:00:00.000Z,715,14317,15032
2021-07-19T00:00:00.000Z,1695,14337,16032
2021-07-20T00:00:00.000Z,3743,39000,42744
2021-07-21T00:00:00.000Z,3323,41774,45097
2021-07-22T00:00:00.000Z,5646,120011,125657
2021-07-23T00:00:00.000Z,1412,26794,28207
2021-07-24T00:00:00.000Z,24173,215022,239196
2021-07-25T00:00:00.000Z,1087,17397,18485
2021-07-26T00:00:00.000Z,1333,14445,15778
2021-07-27T00:00:00.000Z,11881,97747,109628
2021-07-28T00:00:00.000Z,27862,192668,220531
2021-07-29T00:00:00.000Z,1734,106109,107843
2021-07-30T00:00:00.000Z,1750,29904,31655
2021-07-31T00:00:00.000Z,2600,30855,33456
2021-08-01T00:00:00.000Z,1041,16261,17302
2021-08-02T00:00:00.000Z,5395,15019,20415
2021-08-03T00:00:00.000Z,3698,42932,46630
2021-08-04T00:00:00.000Z,28318,223029,251348
2021-08-05T00:00:00.000Z,4702,116603,121306
2021-08-06T00:00:00.000Z,20943,39613,60557
2021-08-07T00:00:00.000Z,11046,19933,30979
2021-08-08T00:00:00.000Z,1082,13757,14839
2021-08-09T00:00:00.000Z,6085,16647,22732
2021-08-10T00:00:00.000Z,3384,17716,21101
2021-08-11T00:00:00.000Z,5990,24492,30483
2021-08-12T00:00:00.000Z,19805,132199,152006
2021-08-13T00:00:00.000Z,15374,44912,60287
2021-08-14T00:00:00.000Z,3212,37145,40357
2021-08-15T00:00:00.000Z,969,15437,16407
2021-08-16T00:00:00.000Z,1307,13303,14610
2021-08-17T00:00:00.000Z,14991,34935,49926
2021-08-18T00:00:00.000Z,18565,71976,90541
2021-08-19T00:00:00.000Z,56865,223881,280746
2021-08-20T00:00:00.000Z,7994,124428,132422
2021-08-21T00:00:00.000Z,3257,30035,33293
2021-08-22T00:00:00.000Z,859,13221,14081
2021-08-23T00:00:00.000Z,12184,18227,30412
2021-08-24T00:00:00.000Z,18986,33001,51988
2021-08-25T00:00:00.000Z,23081,46834,69915
2021-08-26T00:00:00.000Z,27760,110625,138386
2021-08-27T00:00:00.000Z,5757,10519,16276
2021-08-28T00:00:00.000Z,19945,169004,188950
2021-08-29T00:00:00.000Z,1528,28765,30294
2021-08-30T00:00:00.000Z,4362,11816,16179
2021-08-31T00:00:00.000Z,3676,2540,6217
2021-09-01T00:00:00.000Z,5226,3399,8625
2021-09-02T00:00:00.000Z,4843,3514,8357
2021-09-03T00:00:00.000Z,3637,2589,6227
2021-09-04T00:00:00.000Z,3368,2629,5998
2021-09-05T00:00:00.000Z,5501,2096,7597
2021-09-06T00:00:00.000Z,3848,7029,10877
2021-09-07T00:00:00.000Z,4343,2781,7125
2021-09-08T00:00:00.000Z,3769,2328,6097
2021-09-09T00:00:00.000Z,4347,2781,7128
2021-09-10T00:00:00.000Z,4847,4198,9045
2021-09-11T00:00:00.000Z,3435,2306,5742
2021-09-12T00:00:00.000Z,3609,2256,5865
2021-09-13T00:00:00.000Z,3791,2743,6534
2021-09-14T00:00:00.000Z,3891,2604,6496
2021-09-15T00:00:00.000Z,3946,2692,6639
2021-09-16T00:00:00.000Z,5009,3416,8426
2021-09-17T00:00:00.000Z,4749,3351,8100
2021-09-18T00:00:00.000Z,4430,3650,8081
2021-09-19T00:00:00.000Z,2998,1739,4738
2021-09-20T00:00:00.000Z,3805,2407,6213
2021-09-21T00:00:00.000Z,3576,2375,5951
2021-09-22T00:00:00.000Z,3528,2310,5839
