Time,Data receive rate for S_n3,Data transmit rate for S_n3,Usage for S_n3
2022-03-14T12:00:00.000Z,31966,37708,69674
2022-03-14T14:00:00.000Z,17811,29336,47147
2022-03-14T16:00:00.000Z,6066,11797,17863
2022-03-14T18:00:00.000Z,4205,11310,15516
2022-03-14T20:00:00.000Z,3763,5137,8901
2022-03-14T22:00:00.000Z,2791,2830,5623
2022-03-15T00:00:00.000Z,2386,25235,27622
2022-03-15T02:00:00.000Z,1894,6178,8073
2022-03-15T04:00:00.000Z,2436,1870,4307
2022-03-15T06:00:00.000Z,14743,16748,31492
2022-03-15T08:00:00.000Z,32248,39120,71369
2022-03-15T10:00:00.000Z,37235,47005,84241
2022-03-15T12:00:00.000Z,33770,41088,74858
2022-03-15T14:00:00.000Z,20546,23029,43576
2022-03-15T16:00:00.000Z,7439,10742,18183
2022-03-15T18:00:00.000Z,5014,11422,16437
2022-03-15T20:00:00.000Z,5055,9254,14310
2022-03-15T22:00:00.000Z,11607,2106,13714
2022-03-16T00:00:00.000Z,4069,1394,5464
2022-03-16T02:00:00.000Z,2929,14898,17828
2022-03-16T04:00:00.000Z,3398,16353,19752
2022-03-16T06:00:00.000Z,14850,17352,32202
2022-03-16T08:00:00.000Z,34416,36181,70597
2022-03-16T10:00:00.000Z,32606,36179,68786
2022-03-16T12:00:00.000Z,30780,39925,70706
2022-03-16T14:00:00.000Z,17137,23252,40390
2022-03-16T16:00:00.000Z,5703,6762,12466
2022-03-16T18:00:00.000Z,4009,8830,12839
2022-03-16T20:00:00.000Z,3098,4366,7465
2022-03-16T22:00:00.000Z,2935,3602,6538
2022-03-17T00:00:00.000Z,2439,3839,6278
2022-03-17T02:00:00.000Z,2269,31626,33896
2022-03-17T04:00:00.000Z,2449,5618,8068
2022-03-17T06:00:00.000Z,13667,18276,31943
2022-03-17T08:00:00.000Z,29793,40568,70361
2022-03-17T10:00:00.000Z,33850,58710,92560
2022-03-17T12:00:00.000Z,28783,46483,75266
2022-03-17T14:00:00.000Z,15275,21470,36746
2022-03-17T16:00:00.000Z,5438,7062,12501
2022-03-17T18:00:00.000Z,4217,7437,11655
2022-03-17T20:00:00.000Z,3339,10099,13439
2022-03-17T22:00:00.000Z,2779,1654,4434
2022-03-18T00:00:00.000Z,2198,25047,27246
2022-03-18T02:00:00.000Z,2036,17486,19522
2022-03-18T04:00:00.000Z,2221,14653,16875
2022-03-18T06:00:00.000Z,13254,16265,29520
2022-03-18T08:00:00.000Z,29731,35780,65512
2022-03-18T10:00:00.000Z,28818,39524,68343
