Time,Usage in MHz for R03,Usage for R03,
2021-04-13T00:00:00.000Z,20649,11,47
2021-04-14T00:00:00.000Z,20014,11,11
2021-04-15T00:00:00.000Z,20821,11,56
2021-04-16T00:00:00.000Z,20822,11,56
2021-04-17T00:00:00.000Z,17324,9,62
2021-04-18T00:00:00.000Z,16559,9,19
2021-04-19T00:00:00.000Z,19049,10,58
2021-04-20T00:00:00.000Z,19477,10,82
2021-04-21T00:00:00.000Z,20852,11,58
2021-04-22T00:00:00.000Z,20951,11,63
2021-04-23T00:00:00.000Z,24438,13,57
2021-04-24T00:00:00.000Z,19305,10,72
2021-04-25T00:00:00.000Z,19214,10,67
2021-04-26T00:00:00.000Z,20436,11,35
2021-04-27T00:00:00.000Z,21970,12,2
2021-04-28T00:00:00.000Z,18293,10,16
2021-04-29T00:00:00.000Z,20255,11,25
2021-04-30T00:00:00.000Z,20773,11,54
2021-05-01T00:00:00.000Z,24759,13,75
2021-05-02T00:00:00.000Z,23833,13,24
2021-05-03T00:00:00.000Z,26644,14,8
2021-05-04T00:00:00.000Z,23458,13,3
2021-05-05T00:00:00.000Z,20514,11,39
2021-05-06T00:00:00.000Z,19644,10,91
2021-05-07T00:00:00.000Z,21782,12,1
2021-05-08T00:00:00.000Z,17860,9,92
2021-05-09T00:00:00.000Z,10561,5,86
2021-05-10T00:00:00.000Z,12947,7,19
2021-05-11T00:00:00.000Z,21725,12,6
2021-05-12T00:00:00.000Z,19103,10,61
2021-05-13T00:00:00.000Z,20802,11,55
2021-05-14T00:00:00.000Z,19227,10,68
2021-05-15T00:00:00.000Z,18770,10,42
2021-05-16T00:00:00.000Z,19328,10,73
2021-05-17T00:00:00.000Z,24633,13,68
2021-05-18T00:00:00.000Z,19311,10,72
2021-05-19T00:00:00.000Z,19918,11,6
2021-05-20T00:00:00.000Z,19323,10,73
2021-05-21T00:00:00.000Z,19773,10,98
2021-05-22T00:00:00.000Z,18213,10,11
2021-05-23T00:00:00.000Z,16365,9,9
2021-05-24T00:00:00.000Z,19573,10,87
2021-05-25T00:00:00.000Z,19534,10,85
2021-05-26T00:00:00.000Z,19924,11,6
2021-05-27T00:00:00.000Z,19359,10,75
2021-05-28T00:00:00.000Z,19442,10,8
2021-05-29T00:00:00.000Z,11187,6,21
2021-05-30T00:00:00.000Z,20004,11,11
2021-05-31T00:00:00.000Z,21194,11,77
2021-06-01T00:00:00.000Z,21803,12,11
2021-06-02T00:00:00.000Z,21359,11,86
2021-06-03T00:00:00.000Z,19503,10,83
2021-06-04T00:00:00.000Z,20478,11,37
2021-06-05T00:00:00.000Z,18666,10,37
2021-06-06T00:00:00.000Z,18680,10,37
2021-06-07T00:00:00.000Z,20960,11,64
2021-06-08T00:00:00.000Z,20890,11,6
2021-06-09T00:00:00.000Z,20733,11,51
2021-06-10T00:00:00.000Z,21027,11,68
2021-06-11T00:00:00.000Z,23058,12,81
2021-06-12T00:00:00.000Z,20687,11,49
2021-06-13T00:00:00.000Z,20554,11,41
2021-06-14T00:00:00.000Z,22493,12,49
2021-06-15T00:00:00.000Z,21824,12,12
2021-06-16T00:00:00.000Z,23646,13,13
2021-06-17T00:00:00.000Z,23274,12,93
2021-06-18T00:00:00.000Z,23042,12,8
2021-06-19T00:00:00.000Z,18262,10,14
2021-06-20T00:00:00.000Z,21026,11,68
2021-06-21T00:00:00.000Z,23675,13,15
2021-06-22T00:00:00.000Z,22798,12,66
2021-06-23T00:00:00.000Z,22409,12,44
2021-06-24T00:00:00.000Z,22718,12,62
2021-06-25T00:00:00.000Z,22557,12,53
2021-06-26T00:00:00.000Z,21382,11,87
2021-06-27T00:00:00.000Z,22324,12,4
2021-06-28T00:00:00.000Z,23901,13,27
2021-06-29T00:00:00.000Z,25343,14,7
2021-06-30T00:00:00.000Z,24898,13,83
2021-07-01T00:00:00.000Z,25996,14,44
2021-07-02T00:00:00.000Z,23321,12,95
2021-07-03T00:00:00.000Z,21533,11,96
2021-07-04T00:00:00.000Z,21637,12,2
2021-07-05T00:00:00.000Z,22781,12,65
2021-07-06T00:00:00.000Z,22369,12,42
2021-07-07T00:00:00.000Z,24353,13,52
2021-07-08T00:00:00.000Z,24125,13,4
2021-07-09T00:00:00.000Z,24017,13,34
2021-07-10T00:00:00.000Z,20826,11,57
2021-07-11T00:00:00.000Z,20479,11,37
2021-07-12T00:00:00.000Z,22942,12,74
2021-07-13T00:00:00.000Z,23690,13,16
2021-07-14T00:00:00.000Z,22881,12,71
2021-07-15T00:00:00.000Z,22594,12,55
2021-07-16T00:00:00.000Z,22672,12,59
2021-07-17T00:00:00.000Z,20432,11,35
