Time,Usage for R03_n2
2022-03-13T14:00:00.000Z,1741
2022-03-13T16:00:00.000Z,2285
2022-03-13T18:00:00.000Z,1717
2022-03-13T20:00:00.000Z,2287
2022-03-13T22:00:00.000Z,4501
2022-03-14T00:00:00.000Z,20623
2022-03-14T02:00:00.000Z,10835
2022-03-14T04:00:00.000Z,1258
2022-03-14T06:00:00.000Z,2097
2022-03-14T08:00:00.000Z,2556
2022-03-14T10:00:00.000Z,2690
2022-03-14T12:00:00.000Z,2582
2022-03-14T14:00:00.000Z,1890
2022-03-14T16:00:00.000Z,1689
2022-03-14T18:00:00.000Z,1558
2022-03-14T20:00:00.000Z,21445
2022-03-14T22:00:00.000Z,67173
2022-03-15T00:00:00.000Z,76891
2022-03-15T02:00:00.000Z,12234
2022-03-15T04:00:00.000Z,1255
2022-03-15T06:00:00.000Z,1773
2022-03-15T08:00:00.000Z,2633
2022-03-15T10:00:00.000Z,3283
2022-03-15T12:00:00.000Z,2957
2022-03-15T14:00:00.000Z,3231
2022-03-15T16:00:00.000Z,2034
2022-03-15T18:00:00.000Z,2331
2022-03-15T20:00:00.000Z,3160
2022-03-15T22:00:00.000Z,3407
2022-03-16T00:00:00.000Z,4024
2022-03-16T02:00:00.000Z,45619
2022-03-16T04:00:00.000Z,43038
2022-03-16T06:00:00.000Z,1961
2022-03-16T08:00:00.000Z,2874
2022-03-16T10:00:00.000Z,3079
2022-03-16T12:00:00.000Z,3318
2022-03-16T14:00:00.000Z,2995
2022-03-16T16:00:00.000Z,1912
2022-03-16T18:00:00.000Z,1966
2022-03-16T20:00:00.000Z,2602
2022-03-16T22:00:00.000Z,4756
2022-03-17T00:00:00.000Z,3306
2022-03-17T02:00:00.000Z,88239
2022-03-17T04:00:00.000Z,1227
2022-03-17T06:00:00.000Z,1881
2022-03-17T08:00:00.000Z,1906
2022-03-17T10:00:00.000Z,2009
2022-03-17T12:00:00.000Z,1877
2022-03-17T14:00:00.000Z,1705
2022-03-17T16:00:00.000Z,1451
2022-03-17T18:00:00.000Z,1466
2022-03-17T20:00:00.000Z,1912
2022-03-17T22:00:00.000Z,4052
2022-03-18T00:00:00.000Z,4452
2022-03-18T02:00:00.000Z,55603
2022-03-18T04:00:00.000Z,25369
2022-03-18T06:00:00.000Z,1587
