Time,Read rate for S_n1,Write rate for S_n1,Usage for S_n1
2021-08-13T00:00:00.000Z,12072,23810,35883
2021-08-14T00:00:00.000Z,4725,23883,28609
2021-08-15T00:00:00.000Z,2394,24805,27199
2021-08-16T00:00:00.000Z,8370,26024,34396
2021-08-17T00:00:00.000Z,4746,25759,30505
2021-08-18T00:00:00.000Z,9254,34733,43988
2021-08-19T00:00:00.000Z,17520,25900,43421
2021-08-20T00:00:00.000Z,4299,21672,25972
2021-08-21T00:00:00.000Z,5033,24347,29381
2021-08-22T00:00:00.000Z,42525,23992,66517
2021-08-23T00:00:00.000Z,7223,27670,34894
2021-08-24T00:00:00.000Z,8455,24908,33364
2021-08-25T00:00:00.000Z,6645,23507,30153
2021-08-26T00:00:00.000Z,8399,23031,31431
2021-08-27T00:00:00.000Z,5082,24130,29213
2021-08-28T00:00:00.000Z,5212,24499,29712
2021-08-29T00:00:00.000Z,2890,23055,25946
2021-08-30T00:00:00.000Z,3039,25435,28474
2021-08-31T00:00:00.000Z,6424,32372,38796
2021-09-01T00:00:00.000Z,4656,30619,35275
2021-09-02T00:00:00.000Z,8071,29199,37271
2021-09-03T00:00:00.000Z,3470,29274,32745
2021-09-04T00:00:00.000Z,5582,28476,34059
2021-09-05T00:00:00.000Z,3786,29413,33199
2021-09-06T00:00:00.000Z,7759,30936,38695
2021-09-07T00:00:00.000Z,7159,33924,41084
2021-09-08T00:00:00.000Z,3591,30883,34474
2021-09-09T00:00:00.000Z,4274,31162,35437
2021-09-10T00:00:00.000Z,4001,29887,33889
2021-09-11T00:00:00.000Z,6065,29098,35163
2021-09-12T00:00:00.000Z,4345,30165,34511
2021-09-13T00:00:00.000Z,10487,35585,46073
2021-09-14T00:00:00.000Z,5469,31258,36727
2021-09-15T00:00:00.000Z,13060,30741,43802
2021-09-16T00:00:00.000Z,9966,31585,41552
2021-09-17T00:00:00.000Z,14079,32712,46792
2021-09-18T00:00:00.000Z,5445,29241,34686
2021-09-19T00:00:00.000Z,3025,28798,31823
2021-09-20T00:00:00.000Z,3559,28476,32036
2021-09-21T00:00:00.000Z,5673,47726,53400
2021-09-22T00:00:00.000Z,22513,29172,51685
2021-09-23T00:00:00.000Z,8056,29500,37556
2021-09-24T00:00:00.000Z,7225,31876,39101
2021-09-25T00:00:00.000Z,6239,30134,36373
2021-09-26T00:00:00.000Z,3787,29272,33060
2021-09-27T00:00:00.000Z,9018,30747,39766
2021-09-28T00:00:00.000Z,5068,32406,37475
2021-09-29T00:00:00.000Z,5199,24190,29390
2021-09-30T00:00:00.000Z,5604,10515,16120
2021-10-01T00:00:00.000Z,6782,10006,16788
2021-10-02T00:00:00.000Z,4785,8265,13050
2021-10-03T00:00:00.000Z,2866,7638,10504
2021-10-04T00:00:00.000Z,6207,16501,22709
2021-10-05T00:00:00.000Z,13285,34728,48013
2021-10-06T00:00:00.000Z,7241,25844,33085
2021-10-07T00:00:00.000Z,6787,27449,34236
2021-10-08T00:00:00.000Z,5690,24714,30404
2021-10-09T00:00:00.000Z,13036,16341,29378
2021-10-10T00:00:00.000Z,10392,11667,22059
2021-10-11T00:00:00.000Z,14600,26632,41233
2021-10-12T00:00:00.000Z,11785,25889,37675
2021-10-13T00:00:00.000Z,8158,26961,35120
2021-10-14T00:00:00.000Z,4067,24089,28158
2021-10-15T00:00:00.000Z,28958,29656,58614
2021-10-16T00:00:00.000Z,10049,10775,20826
2021-10-17T00:00:00.000Z,5671,9056,14728
2021-10-18T00:00:00.000Z,5067,24688,29755
2021-10-19T00:00:00.000Z,20239,26076,46315
2021-10-20T00:00:00.000Z,5190,24447,29638
2021-10-21T00:00:00.000Z,4809,23107,27918
2021-10-22T00:00:00.000Z,7832,25242,33075
2021-10-23T00:00:00.000Z,4768,9032,13800
2021-10-24T00:00:00.000Z,3022,8398,11421
2021-10-25T00:00:00.000Z,3963,28164,32128
2021-10-26T00:00:00.000Z,6826,29156,35983
2021-10-27T00:00:00.000Z,6166,24639,30806
2021-10-28T00:00:00.000Z,6090,25678,31769
2021-10-29T00:00:00.000Z,3401,24955,28357
2021-10-30T00:00:00.000Z,6045,9063,15109
