DATE,CPU_USAGE_MHZ,MEMORY_USAGE_KB,AVG_DISK_IO_RATE_KBPS,AVG_NETWORK_TR_KBPS
2022-03-15 00:00:00,-0.186210141091775,-0.9507933137651243,-0.15552693885438187,-0.4784632176885669
2022-03-15 02:00:00,-0.14352751407587971,,-0.4564931625332729,-0.7740671721953312
2022-03-15 04:00:00,-0.04258077061862972,,1.178809944727379,-0.6745897894769073
2022-03-15 06:00:00,0.23928437783423256,,0.5291012743455817,-0.6226433755247277
2022-03-15 08:00:00,0.33200755742804566,,-0.21997021569965833,-0.5307415115076632
2022-03-15 10:00:00,0.33853313846947736,,-0.20106490045395906,-0.5456183872811903
2022-03-15 12:00:00,0.33230720145545833,,0.15107490733961204,-0.4484064453934586
2022-03-15 14:00:00,0.08776438130588668,,-0.04438660074330128,-0.5437714036740016
2022-03-15 16:00:00,-0.10287580769022595,,-0.4234255145841358,-0.7640963466283989
2022-03-15 18:00:00,-0.13650252632209353,,-0.4795952179497933,-0.7791608066745309
2022-03-15 20:00:00,-0.1522504846516711,,-0.48499102674084915,-0.7897232441781408
2022-03-15 22:00:00,-0.17322556657055882,,-0.025667807282971817,-0.31856926963187193
2022-03-16 00:00:00,-0.19939447829793297,-0.9508456353506164,0.13023775931686798,0.015763622388128427
2022-03-16 02:00:00,-0.15291636026814373,,-0.09797164508311983,-0.27942187489513215
2022-03-16 04:00:00,-0.041382194508978995,,1.272683694707081,-0.33918911005900093
2022-03-16 06:00:00,0.1823520126258231,,0.9682401720295094,-0.2855688672128067
2022-03-16 08:00:00,0.2704140629043278,,0.011596580836986451,-0.21272845120430603
2022-03-16 10:00:00,0.4862576439839293,,0.34166020303357114,0.022141487656701538
2022-03-16 12:00:00,0.3236508184413142,,2.0270444096660225,0.5967409737649637
2022-03-16 14:00:00,0.13907009755510247,,0.2971747572228665,-0.044220056167207894
2022-03-16 16:00:00,-0.07990309892192037,,-0.3207985636767211,-0.7385560264352439
2022-03-16 18:00:00,-0.14026472355516387,,-0.472414129213055,-0.7786557720944404
2022-03-16 20:00:00,-0.14645736678835927,,-0.480061522413218,-0.7759574444808132
2022-03-16 22:00:00,-0.15934205996710457,,0.033179816001209714,-0.2430882442474687
2022-03-17 00:00:00,-0.20858356180525522,-0.9553820587079151,-0.3684415568540435,-0.7042858227862366
2022-03-17 02:00:00,-0.15391517369285268,,-0.45620005687054893,-0.7815561135401038
2022-03-17 04:00:00,-0.025600942398577776,,1.0300321749256005,-0.7003321235020984
2022-03-17 06:00:00,0.18255177531076489,,0.4087014618893559,-0.6711844134511532
2022-03-17 08:00:00,0.23009529432691034,,-0.27656625457473266,-0.5649107082406525
2022-03-17 10:00:00,0.2445447952043663,,-0.27215634664920313,-0.5450267753445126
2022-03-17 12:00:00,0.321053903537071,,-0.24401820302769725,-0.5383458893278851
2022-03-17 14:00:00,-0.014181175576072251,,-0.3260877885904227,-0.6828002087932378
2022-03-17 16:00:00,-0.16273802561111497,,-0.46993605406457006,-0.783922561286814
2022-03-17 18:00:00,-0.13846685939068776,,-0.47182791788760686,-0.7871403530399631
2022-03-17 20:00:00,-0.16190568109052417,,-0.47487888137687045,-0.8015410533522617
2022-03-17 22:00:00,-0.17189381533761355,,0.028543417336302494,-0.25392484338027066
2022-03-18 00:00:00,-0.18038372944763953,-0.9598538479335993,0.3878509908819428,0.13010345132064813
2022-03-18 02:00:00,-0.1342385492260866,,0.46236644413719014,0.10213896514305812
2022-03-18 04:00:00,-0.0075557131921696295,,1.610754430689899,-0.20366668788153688
2022-03-18 06:00:00,0.15748155835057057,,1.107758467486143,-0.2296254652981955
2022-03-18 08:00:00,0.21521297429874717,,0.31164351857369765,0.14366723718593957
2022-03-18 10:00:00,0.21977422227158466,,0.16607658807721407,-0.22611908235642336
2022-03-18 12:00:00,0.16084423021375732,,0.09550473828407166,-0.10439131899514927
2022-03-18 14:00:00,-0.022970733713510907,,0.31953072549790756,0.19509418699859737
2022-03-18 16:00:00,-0.17785340210504355,,-0.04497281206874937,-0.7900551240450575
2022-03-18 18:00:00,-0.20362278846253415,,-0.49218543846225693,-0.8050907249723273
2022-03-18 20:00:00,-0.20575359043524655,,-0.4937042587145541,-0.8016709193871421
2022-03-18 22:00:00,-0.2311567452036772,,-0.44157141970368646,-0.7739228766010195
2022-03-19 00:00:00,-0.24430778862901156,-0.9689048760261657,-0.4328848336993201,-0.780243023631868
2022-03-19 02:00:00,-0.16004122936440082,,1.1170046188466187,0.5248096200006263
2022-03-19 04:00:00,-0.06974849577071283,,2.7139242072750935,0.08431845924557439
2022-03-19 06:00:00,-0.050105165084770385,,2.1961530540731125,0.6368695785430225
2022-03-19 08:00:00,-0.20375596358582868,,0.3752208014154714,-0.7425241552788132
2022-03-19 10:00:00,-0.20758474838054627,,-0.48111403820209053,-0.7794061091848608
2022-03-19 12:00:00,-0.2250639833129527,,-0.502417490688259,-0.805509182195831
2022-03-19 14:00:00,-0.2312566265461481,,-0.4966486383264636,-0.8068944199012225
2022-03-19 16:00:00,-0.2062197033667774,,-0.5104912193978388,-0.8111367103739838
2022-03-19 18:00:00,-0.20671911007913185,,-0.503096962906392,-0.8041383740498707
2022-03-19 20:00:00,-0.21594148736727772,,-0.5201637062677316,-0.8200108894241478
2022-03-19 22:00:00,-0.21714006347692844,,0.10465762875186264,-0.33398003910435187
2022-03-20 00:00:00,-0.23132321410779536,-0.9689124287988053,0.27389950300564553,-0.2712980329353885
2022-03-20 02:00:00,-0.14788899936377542,,0.9359052882371823,-0.22398350756061158
