Time,Usage in MHz for V03,Usage for V03,
2021-04-14T00:00:00.000Z,16121,15,99
2021-04-15T00:00:00.000Z,15903,15,77
2021-04-16T00:00:00.000Z,16304,16,17
2021-04-17T00:00:00.000Z,9879,9,8
2021-04-18T00:00:00.000Z,10371,10,28
2021-04-19T00:00:00.000Z,16355,16,22
2021-04-20T00:00:00.000Z,16253,16,12
2021-04-21T00:00:00.000Z,15965,15,83
2021-04-22T00:00:00.000Z,16005,15,87
2021-04-23T00:00:00.000Z,16861,16,72
2021-04-24T00:00:00.000Z,9850,9,77
2021-04-25T00:00:00.000Z,10931,10,84
2021-04-26T00:00:00.000Z,16580,16,44
2021-04-27T00:00:00.000Z,21014,20,84
2021-04-28T00:00:00.000Z,21094,20,92
2021-04-29T00:00:00.000Z,22926,22,74
2021-04-30T00:00:00.000Z,22709,22,52
2021-05-01T00:00:00.000Z,13723,13,61
2021-05-02T00:00:00.000Z,12338,12,24
2021-05-03T00:00:00.000Z,11676,11,58
2021-05-04T00:00:00.000Z,20178,20,1
2021-05-05T00:00:00.000Z,20197,20,3
2021-05-06T00:00:00.000Z,19699,19,54
2021-05-07T00:00:00.000Z,18949,18,79
2021-05-08T00:00:00.000Z,10222,10,14
2021-05-09T00:00:00.000Z,10616,10,53
2021-05-10T00:00:00.000Z,18197,18,5
2021-05-11T00:00:00.000Z,18595,18,44
2021-05-12T00:00:00.000Z,17847,17,7
2021-05-13T00:00:00.000Z,17155,17,1
2021-05-14T00:00:00.000Z,16542,16,41
2021-05-15T00:00:00.000Z,10490,10,4
2021-05-16T00:00:00.000Z,10798,10,71
2021-05-17T00:00:00.000Z,17533,17,39
2021-05-18T00:00:00.000Z,17008,16,87
2021-05-19T00:00:00.000Z,16845,16,71
2021-05-20T00:00:00.000Z,17158,17,2
2021-05-21T00:00:00.000Z,16713,16,58
2021-05-22T00:00:00.000Z,10316,10,23
2021-05-23T00:00:00.000Z,10524,10,44
2021-05-24T00:00:00.000Z,16629,16,49
2021-05-25T00:00:00.000Z,17403,17,26
2021-05-26T00:00:00.000Z,16564,16,43
2021-05-27T00:00:00.000Z,17167,17,3
2021-05-28T00:00:00.000Z,17114,16,97
2021-05-29T00:00:00.000Z,9260,9,18
2021-05-30T00:00:00.000Z,10342,10,25
2021-05-31T00:00:00.000Z,19608,19,45
2021-06-01T00:00:00.000Z,23642,23,45
2021-06-02T00:00:00.000Z,21172,21,
2021-06-03T00:00:00.000Z,10151,10,7
2021-06-04T00:00:00.000Z,13528,13,42
2021-06-05T00:00:00.000Z,9713,9,63
2021-06-06T00:00:00.000Z,9936,9,85
2021-06-07T00:00:00.000Z,17766,17,62
2021-06-08T00:00:00.000Z,19541,19,38
2021-06-09T00:00:00.000Z,16655,16,52
2021-06-10T00:00:00.000Z,16819,16,68
2021-06-11T00:00:00.000Z,16007,15,87
2021-06-12T00:00:00.000Z,9200,9,12
2021-06-13T00:00:00.000Z,9717,9,63
2021-06-14T00:00:00.000Z,15513,15,38
2021-06-15T00:00:00.000Z,15877,15,75
2021-06-16T00:00:00.000Z,15803,15,67
2021-06-17T00:00:00.000Z,17271,17,13
2021-06-18T00:00:00.000Z,16753,16,62
2021-06-19T00:00:00.000Z,9452,9,37
2021-06-20T00:00:00.000Z,9037,8,96
2021-06-21T00:00:00.000Z,15261,15,13
2021-06-22T00:00:00.000Z,16144,16,1
2021-06-23T00:00:00.000Z,15268,15,14
2021-06-24T00:00:00.000Z,15665,15,54
2021-06-25T00:00:00.000Z,15842,15,71
2021-06-26T00:00:00.000Z,9191,9,11
2021-06-27T00:00:00.000Z,9159,9,8
