Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2022-03-24T18:00:00.000Z,6710,17718,11008
2022-03-24T20:00:00.000Z,1061,1973,911
2022-03-24T22:00:00.000Z,12947,15694,2746
2022-03-25T00:00:00.000Z,1415,2712,1297
2022-03-25T02:00:00.000Z,2524,6940,4416
2022-03-25T04:00:00.000Z,1298,2672,1373
2022-03-25T06:00:00.000Z,1670,3124,1453
2022-03-25T08:00:00.000Z,4541,14501,9959
2022-03-25T10:00:00.000Z,1825,4799,2973
2022-03-25T12:00:00.000Z,2237,4119,1882
2022-03-25T14:00:00.000Z,2773,6370,3596
2022-03-25T16:00:00.000Z,1480,2849,1368
2022-03-25T18:00:00.000Z,1417,2603,1186
2022-03-25T20:00:00.000Z,1437,2416,979
2022-03-25T22:00:00.000Z,5107,7028,1920
2022-03-26T00:00:00.000Z,3721,8786,5064
2022-03-26T02:00:00.000Z,4928,12780,7850
2022-03-26T04:00:00.000Z,978,1668,689
2022-03-26T06:00:00.000Z,982,1698,716
2022-03-26T08:00:00.000Z,1054,2030,975
2022-03-26T10:00:00.000Z,1273,2348,1074
2022-03-26T12:00:00.000Z,1149,1949,800
2022-03-26T14:00:00.000Z,947,1852,904
2022-03-26T16:00:00.000Z,1004,1920,916
2022-03-26T18:00:00.000Z,898,1433,534
2022-03-26T20:00:00.000Z,934,1591,656
2022-03-26T22:00:00.000Z,3329,5185,1856
2022-03-27T00:00:00.000Z,3406,5430,2023
2022-03-27T02:00:00.000Z,1342,3088,1745
2022-03-27T04:00:00.000Z,964,1489,524
2022-03-27T06:00:00.000Z,1360,2529,1168
2022-03-27T08:00:00.000Z,1459,2733,1273
2022-03-27T10:00:00.000Z,1309,2230,921
2022-03-27T12:00:00.000Z,1017,1643,626
2022-03-27T14:00:00.000Z,1204,2126,921
2022-03-27T16:00:00.000Z,851,1293,441
2022-03-27T18:00:00.000Z,817,1293,476
2022-03-27T20:00:00.000Z,10850,13056,2205
2022-03-27T22:00:00.000Z,3305,5043,1737
2022-03-28T00:00:00.000Z,3816,8210,4393
2022-03-28T02:00:00.000Z,1656,3379,1722
2022-03-28T04:00:00.000Z,8253,23245,14991
2022-03-28T06:00:00.000Z,2175,4692,2517
2022-03-28T08:00:00.000Z,2045,4136,2090
2022-03-28T10:00:00.000Z,5271,12120,6848
2022-03-28T12:00:00.000Z,3753,7707,3953
