Time,Read rate for V03_n1,Usage for V03_n1,Write rate for V03_n1
2021-04-14T00:00:00.000Z,3721,7526,3804
2021-04-15T00:00:00.000Z,2786,5191,2405
2021-04-16T00:00:00.000Z,3795,7620,3825
2021-04-17T00:00:00.000Z,4844,8486,3641
2021-04-18T00:00:00.000Z,91770,143052,51281
2021-04-19T00:00:00.000Z,4809,7540,2732
2021-04-20T00:00:00.000Z,3243,6076,2832
2021-04-21T00:00:00.000Z,3904,8554,4649
2021-04-22T00:00:00.000Z,2480,4246,1766
2021-04-23T00:00:00.000Z,3699,5939,2239
2021-04-24T00:00:00.000Z,6184,11137,4952
2021-04-25T00:00:00.000Z,53826,104277,50450
2021-04-26T00:00:00.000Z,4458,6635,2176
2021-04-27T00:00:00.000Z,22790,26232,3442
2021-04-28T00:00:00.000Z,3576,6974,3397
2021-04-29T00:00:00.000Z,33492,49254,15761
2021-04-30T00:00:00.000Z,24029,28794,4764
2021-05-01T00:00:00.000Z,31808,40920,9111
2021-05-02T00:00:00.000Z,46975,73812,26835
2021-05-03T00:00:00.000Z,38369,65804,27434
2021-05-04T00:00:00.000Z,4796,7905,3108
2021-05-05T00:00:00.000Z,26687,33140,6453
2021-05-06T00:00:00.000Z,27468,33560,6091
2021-05-07T00:00:00.000Z,29707,35755,6048
2021-05-08T00:00:00.000Z,6733,11142,4408
2021-05-09T00:00:00.000Z,97854,161970,64115
2021-05-10T00:00:00.000Z,29103,32489,3386
2021-05-11T00:00:00.000Z,29891,33264,3373
2021-05-12T00:00:00.000Z,29277,32130,2852
2021-05-13T00:00:00.000Z,3279,5836,2556
2021-05-14T00:00:00.000Z,3482,6647,3164
2021-05-15T00:00:00.000Z,29160,34958,5797
2021-05-16T00:00:00.000Z,44141,63531,19389
2021-05-17T00:00:00.000Z,26408,29413,3004
2021-05-18T00:00:00.000Z,4432,9094,4662
2021-05-19T00:00:00.000Z,5298,8352,3053
2021-05-20T00:00:00.000Z,25143,28243,3100
2021-05-21T00:00:00.000Z,26087,28721,2633
2021-05-22T00:00:00.000Z,28072,33011,4938
2021-05-23T00:00:00.000Z,51597,89602,38004
2021-05-24T00:00:00.000Z,3354,5840,2486
2021-05-25T00:00:00.000Z,26712,30882,4169
2021-05-26T00:00:00.000Z,21155,23902,2745
2021-05-27T00:00:00.000Z,26283,28693,2410
2021-05-28T00:00:00.000Z,20145,25363,5217
2021-05-29T00:00:00.000Z,10638,28818,18179
2021-05-30T00:00:00.000Z,49008,71655,22647
2021-05-31T00:00:00.000Z,17181,22741,5559
2021-06-01T00:00:00.000Z,24798,31281,6482
2021-06-02T00:00:00.000Z,25007,29206,4198
2021-06-03T00:00:00.000Z,22868,24200,1332
2021-06-04T00:00:00.000Z,2809,5231,2421
2021-06-05T00:00:00.000Z,29157,35134,5977
2021-06-06T00:00:00.000Z,73595,114158,40562
2021-06-07T00:00:00.000Z,24776,27390,2613
2021-06-08T00:00:00.000Z,21859,26044,4184
2021-06-09T00:00:00.000Z,15142,106756,91614
2021-06-10T00:00:00.000Z,18398,21239,2840
2021-06-11T00:00:00.000Z,19845,22027,2182
2021-06-12T00:00:00.000Z,6051,9772,3720
2021-06-13T00:00:00.000Z,18110,19289,1179
2021-06-14T00:00:00.000Z,22246,24787,2540
2021-06-15T00:00:00.000Z,20274,22810,2535
2021-06-16T00:00:00.000Z,2217,4262,2044
2021-06-17T00:00:00.000Z,21274,25098,3823
2021-06-18T00:00:00.000Z,23773,26348,2574
2021-06-19T00:00:00.000Z,18450,20039,1588
2021-06-20T00:00:00.000Z,6433,7618,1185
2021-06-21T00:00:00.000Z,8348,17002,8654
2021-06-22T00:00:00.000Z,16681,19118,2437
2021-06-23T00:00:00.000Z,23510,47638,24128
2021-06-24T00:00:00.000Z,10813,14264,3450
2021-06-25T00:00:00.000Z,17471,20985,3514
2021-06-26T00:00:00.000Z,7481,12891,5409
2021-06-27T00:00:00.000Z,71247,125500,54252
2021-06-28T00:00:00.000Z,4617,8078,3460
2021-06-29T00:00:00.000Z,6970,13775,6805
2021-06-30T00:00:00.000Z,4716,10141,5425
2021-07-01T00:00:00.000Z,5914,10366,4451
2021-07-02T00:00:00.000Z,3748,7348,3599
2021-07-03T00:00:00.000Z,7387,14335,6948
2021-07-04T00:00:00.000Z,22953,44186,21233
2021-07-05T00:00:00.000Z,3870,6913,3043
2021-07-06T00:00:00.000Z,4771,9975,5204
2021-07-07T00:00:00.000Z,6660,10787,4126
2021-07-08T00:00:00.000Z,5560,8345,2784
2021-07-09T00:00:00.000Z,3169,6429,3259
2021-07-10T00:00:00.000Z,9809,16535,6725
2021-07-11T00:00:00.000Z,18264,31497,13232
2021-07-12T00:00:00.000Z,6203,8926,2722
2021-07-13T00:00:00.000Z,5607,7666,2059
2021-07-14T00:00:00.000Z,3162,5874,2712
2021-07-15T00:00:00.000Z,3737,7124,3387
2021-07-16T00:00:00.000Z,17315,21367,4051
2021-07-17T00:00:00.000Z,19421,23149,3727
2021-07-18T00:00:00.000Z,23012,38292,15279
2021-07-19T00:00:00.000Z,2957,5578,2621
2021-07-20T00:00:00.000Z,3704,5726,2022
2021-07-21T00:00:00.000Z,5652,9900,4248
2021-07-22T00:00:00.000Z,3750,5797,2046
2021-07-23T00:00:00.000Z,4908,6842,1933
2021-07-24T00:00:00.000Z,10188,17437,7249
2021-07-25T00:00:00.000Z,49306,84377,35070
2021-07-26T00:00:00.000Z,4877,7103,2226
2021-07-27T00:00:00.000Z,5637,8706,3068
2021-07-28T00:00:00.000Z,4813,7101,2288
2021-07-29T00:00:00.000Z,3142,6316,3173
2021-07-30T00:00:00.000Z,5901,9586,3685
2021-07-31T00:00:00.000Z,7367,11315,3948
