Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2022-03-20T06:00:00.000Z,92145200,0,1230263420,1204259580,1197065,0
2022-03-20T08:00:00.000Z,96145216,0,1230259580,1204259580,1196823,0
2022-03-20T10:00:00.000Z,99297248,0,1230274180,1204259710,1195480,0
2022-03-20T12:00:00.000Z,92985488,0,1230259070,1204259710,1196592,0
2022-03-20T14:00:00.000Z,99708440,0,1230262140,1204259840,1197321,0
2022-03-20T16:00:00.000Z,97880120,0,1230258820,1204259970,1196848,0
2022-03-20T18:00:00.000Z,99964112,0,1230268290,1204259840,1197075,0
2022-03-20T20:00:00.000Z,98296512,0,1230267260,1204259840,1196644,0
2022-03-20T22:00:00.000Z,99032136,0,1230325380,1204291580,1192381,0
2022-03-21T00:00:00.000Z,87176176,0,1230324740,1204299390,1192400,0
2022-03-21T02:00:00.000Z,87055976,0,1230294020,1204282370,1192903,0
2022-03-21T04:00:00.000Z,88158680,0,1230334720,1204282500,1193743,0
2022-03-21T06:00:00.000Z,136186960,0,1230313730,1204282240,1193434,0
2022-03-21T08:00:00.000Z,154469536,0,1230303490,1204285180,1192115,0
2022-03-21T10:00:00.000Z,151341856,0,1230301440,1204293500,1193231,0
2022-03-21T12:00:00.000Z,150460144,0,1230302460,1204293890,1193630,0
2022-03-21T14:00:00.000Z,140449072,0,1230305540,1204300930,1193134,0
2022-03-21T16:00:00.000Z,108344048,0,1230300670,1204302980,1193161,0
2022-03-21T18:00:00.000Z,103098864,0,1230300160,1204303490,1193593,0
2022-03-21T20:00:00.000Z,104372512,0,1230302720,1204303360,1190820,0
2022-03-21T22:00:00.000Z,102215024,0,1230310910,1204304000,1192706,0
2022-03-22T00:00:00.000Z,91313664,0,1230320900,1204304130,1192043,0
2022-03-22T02:00:00.000Z,89718640,0,1230306820,1204304130,1192345,0
2022-03-22T04:00:00.000Z,91492752,0,1230365950,1204304380,1192368,0
2022-03-22T06:00:00.000Z,140281936,0,1230325500,1204304260,1192110,0
2022-03-22T08:00:00.000Z,152588736,0,1230303620,1204304130,1192008,0
2022-03-22T10:00:00.000Z,160726912,0,1230312580,1204307460,1189757,0
2022-03-22T12:00:00.000Z,158478816,0,1230309890,1204308480,1191638,0
2022-03-22T14:00:00.000Z,129778168,0,1230314240,1204308480,1190315,0
2022-03-22T16:00:00.000Z,108143816,0,1230298750,1204308480,1189712,0
2022-03-22T18:00:00.000Z,108109256,0,1230298620,1204308610,1191314,0
2022-03-22T20:00:00.000Z,106208704,0,1230306560,1204308740,1191502,0
2022-03-22T22:00:00.000Z,104739200,0,1230309120,1204309630,1191904,0
2022-03-23T00:00:00.000Z,98709424,0,1230325630,1204311420,1191482,0
2022-03-23T02:00:00.000Z,93389192,0,1230351100,1204312700,1192709,0
