Time,Read rate for V03_n2,Usage for V03_n2,Write rate for V03_n2
2022-03-14T10:00:00.000Z,4500,11442,6941
2022-03-14T12:00:00.000Z,4201,9784,5583
2022-03-14T14:00:00.000Z,3166,7829,4662
2022-03-14T16:00:00.000Z,2603,6584,3980
2022-03-14T18:00:00.000Z,2504,6963,4458
2022-03-14T20:00:00.000Z,2614,7405,4790
2022-03-14T22:00:00.000Z,5323,9885,4561
2022-03-15T00:00:00.000Z,2520,6295,3775
2022-03-15T02:00:00.000Z,2333,6074,3740
2022-03-15T04:00:00.000Z,1903,4842,2939
2022-03-15T06:00:00.000Z,3764,10008,6243
2022-03-15T08:00:00.000Z,3193,7994,4800
2022-03-15T10:00:00.000Z,2706,6731,4024
2022-03-15T12:00:00.000Z,2651,6817,4165
2022-03-15T14:00:00.000Z,1703,4876,3172
2022-03-15T16:00:00.000Z,2194,6994,4799
2022-03-15T18:00:00.000Z,2237,6091,3853
2022-03-15T20:00:00.000Z,2422,6440,4017
2022-03-15T22:00:00.000Z,4870,8242,3371
2022-03-16T00:00:00.000Z,2259,6147,3887
2022-03-16T02:00:00.000Z,2370,6267,3896
2022-03-16T04:00:00.000Z,7969,24305,16336
2022-03-16T06:00:00.000Z,2955,8483,5527
2022-03-16T08:00:00.000Z,1886,5536,3650
2022-03-16T10:00:00.000Z,2774,7261,4487
2022-03-16T12:00:00.000Z,2013,5484,3471
2022-03-16T14:00:00.000Z,2221,27869,25647
2022-03-16T16:00:00.000Z,5224,12594,7370
2022-03-16T18:00:00.000Z,1654,4871,3216
2022-03-16T20:00:00.000Z,1576,4816,3240
2022-03-16T22:00:00.000Z,3718,7648,3930
2022-03-17T00:00:00.000Z,2079,5756,3676
2022-03-17T02:00:00.000Z,2354,6146,3791
2022-03-17T04:00:00.000Z,7862,23414,15551
2022-03-17T06:00:00.000Z,5261,15438,10176
2022-03-17T08:00:00.000Z,2734,7013,4278
2022-03-17T10:00:00.000Z,2744,7243,4498
2022-03-17T12:00:00.000Z,3075,7630,4555
2022-03-17T14:00:00.000Z,2065,6033,3967
2022-03-17T16:00:00.000Z,1612,4685,3072
2022-03-17T18:00:00.000Z,1780,4732,2952
2022-03-17T20:00:00.000Z,2054,5681,3627
2022-03-17T22:00:00.000Z,4645,9508,4863
2022-03-18T00:00:00.000Z,2574,6595,4019
2022-03-18T02:00:00.000Z,2391,6139,3747
2022-03-18T04:00:00.000Z,2465,6002,3536
2022-03-18T06:00:00.000Z,2414,6830,4415
2022-03-18T08:00:00.000Z,2525,6539,4014
2022-03-18T10:00:00.000Z,3061,8195,5132
2022-03-18T12:00:00.000Z,2624,6875,4251
2022-03-18T14:00:00.000Z,2748,7325,4576
2022-03-18T16:00:00.000Z,2078,5527,3449
2022-03-18T18:00:00.000Z,1832,5238,3404
2022-03-18T20:00:00.000Z,1798,4957,3158
2022-03-18T22:00:00.000Z,2268,5979,3710
2022-03-19T00:00:00.000Z,2550,6213,3663
2022-03-19T02:00:00.000Z,2890,7984,5094
2022-03-19T04:00:00.000Z,3019,7832,4812
2022-03-19T06:00:00.000Z,5918,15051,9132
2022-03-19T08:00:00.000Z,1927,5185,3257
2022-03-19T10:00:00.000Z,1963,5006,3042
2022-03-19T12:00:00.000Z,1963,5473,3510
2022-03-19T14:00:00.000Z,2194,5876,3681
2022-03-19T16:00:00.000Z,2321,6417,4095
2022-03-19T18:00:00.000Z,2602,6652,4049
2022-03-19T20:00:00.000Z,2194,5758,3563
2022-03-19T22:00:00.000Z,2939,7074,4134
2022-03-20T00:00:00.000Z,2839,7232,4392
2022-03-20T02:00:00.000Z,2562,6474,3912
2022-03-20T04:00:00.000Z,6215,17960,11744
2022-03-20T06:00:00.000Z,1473,4567,3094
2022-03-20T08:00:00.000Z,1618,5103,3484
2022-03-20T10:00:00.000Z,1584,4703,3118
2022-03-20T12:00:00.000Z,2227,5531,3304
2022-03-20T14:00:00.000Z,2221,5785,3562
2022-03-20T16:00:00.000Z,1767,4979,3212
2022-03-20T18:00:00.000Z,2244,5957,3713
2022-03-20T20:00:00.000Z,2311,6474,4163
2022-03-20T22:00:00.000Z,2872,6950,4077
2022-03-21T00:00:00.000Z,3063,7565,4501
2022-03-21T02:00:00.000Z,2964,7435,4470
2022-03-21T04:00:00.000Z,10512,30319,19806
2022-03-21T06:00:00.000Z,3040,8041,5000
2022-03-21T08:00:00.000Z,4346,11160,6814
2022-03-21T10:00:00.000Z,3450,8970,5520
2022-03-21T12:00:00.000Z,2482,6186,3703
2022-03-21T14:00:00.000Z,3141,7812,4671
2022-03-21T16:00:00.000Z,2334,6509,4175
2022-03-21T18:00:00.000Z,2545,6813,4267
2022-03-21T20:00:00.000Z,1710,4798,3087
2022-03-21T22:00:00.000Z,2234,6181,3946
2022-03-22T00:00:00.000Z,2388,6107,3718
2022-03-22T02:00:00.000Z,2118,5575,3456
2022-03-22T04:00:00.000Z,11133,33780,22645
2022-03-22T06:00:00.000Z,5081,13406,8324
2022-03-22T08:00:00.000Z,2201,6147,3946
2022-03-22T10:00:00.000Z,3893,9447,5554
2022-03-22T12:00:00.000Z,3477,8831,5354
2022-03-22T14:00:00.000Z,2449,6802,4353
2022-03-22T16:00:00.000Z,2648,7294,4644
2022-03-22T18:00:00.000Z,1760,5133,3371
2022-03-22T20:00:00.000Z,1821,5044,3222
2022-03-22T22:00:00.000Z,3114,7500,4385
2022-03-23T00:00:00.000Z,2448,6126,3676
2022-03-23T02:00:00.000Z,2597,9243,6645
2022-03-23T04:00:00.000Z,3107,8368,5260
2022-03-23T06:00:00.000Z,12349,43020,30670
2022-03-23T08:00:00.000Z,11965,25430,13464
2022-03-23T10:00:00.000Z,2809,8316,5506
2022-03-23T12:00:00.000Z,4159,137361,133201
2022-03-23T14:00:00.000Z,3353,8556,5202
2022-03-23T16:00:00.000Z,2281,6317,4035
2022-03-23T18:00:00.000Z,1871,5266,3393
2022-03-23T20:00:00.000Z,1882,4558,2676
2022-03-23T22:00:00.000Z,2625,7125,4499
2022-03-24T00:00:00.000Z,3811,9013,5201
2022-03-24T02:00:00.000Z,2722,6743,4020
2022-03-24T04:00:00.000Z,1864,5542,3677
2022-03-24T06:00:00.000Z,1991,6032,4040
2022-03-24T08:00:00.000Z,2413,6413,3999
2022-03-24T10:00:00.000Z,2995,8584,5588
2022-03-24T12:00:00.000Z,3133,8297,5163
2022-03-24T14:00:00.000Z,4902,14052,9149
2022-03-24T16:00:00.000Z,2208,5925,3716
2022-03-24T18:00:00.000Z,6954,22212,15258
2022-03-24T20:00:00.000Z,2156,5663,3507
2022-03-24T22:00:00.000Z,7252,11498,4245
2022-03-25T00:00:00.000Z,4039,10038,5999
2022-03-25T02:00:00.000Z,7223,17836,10613
2022-03-25T04:00:00.000Z,2695,7100,4404
2022-03-25T06:00:00.000Z,2378,6208,3829
2022-03-25T08:00:00.000Z,2417,6455,4038
2022-03-25T10:00:00.000Z,17797,48781,30983
2022-03-25T12:00:00.000Z,3486,8417,4931
2022-03-25T14:00:00.000Z,4802,12048,7245
2022-03-25T16:00:00.000Z,2620,6877,4256
