Time,Usage in MHz for V03,Usage for V03,
2022-03-14T10:00:00.000Z,33489,33,22
2022-03-14T12:00:00.000Z,31045,30,79
2022-03-14T14:00:00.000Z,19552,19,39
2022-03-14T16:00:00.000Z,11383,11,29
2022-03-14T18:00:00.000Z,10239,10,15
2022-03-14T20:00:00.000Z,9772,9,69
2022-03-14T22:00:00.000Z,7980,7,91
2022-03-15T00:00:00.000Z,5632,5,58
2022-03-15T02:00:00.000Z,6107,6,5
2022-03-15T04:00:00.000Z,6528,6,47
2022-03-15T06:00:00.000Z,22217,22,4
2022-03-15T08:00:00.000Z,30095,29,85
2022-03-15T10:00:00.000Z,32339,32,8
2022-03-15T12:00:00.000Z,31760,31,5
2022-03-15T14:00:00.000Z,17123,16,98
2022-03-15T16:00:00.000Z,10286,10,2
2022-03-15T18:00:00.000Z,9739,9,66
2022-03-15T20:00:00.000Z,9172,9,9
2022-03-15T22:00:00.000Z,7385,7,32
2022-03-16T00:00:00.000Z,5798,5,75
2022-03-16T02:00:00.000Z,6092,6,4
2022-03-16T04:00:00.000Z,6258,6,2
2022-03-16T06:00:00.000Z,22285,22,1
2022-03-16T08:00:00.000Z,30433,30,19
2022-03-16T10:00:00.000Z,32308,32,5
2022-03-16T12:00:00.000Z,35350,35,6
2022-03-16T14:00:00.000Z,17991,17,84
2022-03-16T16:00:00.000Z,10222,10,14
2022-03-16T18:00:00.000Z,9814,9,73
2022-03-16T20:00:00.000Z,8595,8,52
2022-03-16T22:00:00.000Z,7466,7,4
2022-03-17T00:00:00.000Z,5699,5,65
2022-03-17T02:00:00.000Z,6146,6,9
2022-03-17T04:00:00.000Z,6374,6,32
2022-03-17T06:00:00.000Z,21073,20,9
2022-03-17T08:00:00.000Z,30458,30,21
2022-03-17T10:00:00.000Z,31594,31,34
2022-03-17T12:00:00.000Z,29777,29,54
2022-03-17T14:00:00.000Z,16614,16,48
2022-03-17T16:00:00.000Z,9651,9,57
2022-03-17T18:00:00.000Z,9108,9,3
2022-03-17T20:00:00.000Z,8786,8,71
2022-03-17T22:00:00.000Z,7684,7,62
2022-03-18T00:00:00.000Z,5893,5,84
2022-03-18T02:00:00.000Z,6142,6,9
2022-03-18T04:00:00.000Z,7076,7,1
2022-03-18T06:00:00.000Z,21349,21,17
2022-03-18T08:00:00.000Z,30960,30,71
2022-03-18T10:00:00.000Z,29850,29,61
2022-03-18T12:00:00.000Z,27188,26,97
2022-03-18T14:00:00.000Z,15015,14,89
2022-03-18T16:00:00.000Z,8100,8,3
2022-03-18T18:00:00.000Z,7523,7,46
