Time,Read rate for V03_n1,Usage for V03_n1,Write rate for V03_n1
2022-03-14T10:00:00.000Z,15159,20895,5735
2022-03-14T12:00:00.000Z,7475,12846,5371
2022-03-14T14:00:00.000Z,7374,14535,7161
2022-03-14T16:00:00.000Z,3482,6098,2615
2022-03-14T18:00:00.000Z,3083,5380,2296
2022-03-14T20:00:00.000Z,2998,5203,2204
2022-03-14T22:00:00.000Z,6095,10098,4002
2022-03-15T00:00:00.000Z,3916,7348,3431
2022-03-15T02:00:00.000Z,2724,5014,2289
2022-03-15T04:00:00.000Z,6594,17278,10684
2022-03-15T06:00:00.000Z,5809,11983,6173
2022-03-15T08:00:00.000Z,7341,13942,6600
2022-03-15T10:00:00.000Z,6963,12797,5832
2022-03-15T12:00:00.000Z,12559,28049,15489
2022-03-15T14:00:00.000Z,13591,34664,21071
2022-03-15T16:00:00.000Z,3241,5536,2295
2022-03-15T18:00:00.000Z,3390,6346,2955
2022-03-15T20:00:00.000Z,2987,5501,2514
2022-03-15T22:00:00.000Z,4650,8976,4326
2022-03-16T00:00:00.000Z,3537,7136,3599
2022-03-16T02:00:00.000Z,2685,4806,2121
2022-03-16T04:00:00.000Z,2733,6107,3374
2022-03-16T06:00:00.000Z,4363,8808,4444
2022-03-16T08:00:00.000Z,5022,9561,4539
2022-03-16T10:00:00.000Z,10007,15399,5390
2022-03-16T12:00:00.000Z,5346,10388,5041
2022-03-16T14:00:00.000Z,5042,25968,20925
2022-03-16T16:00:00.000Z,4925,10581,5655
2022-03-16T18:00:00.000Z,3866,7263,3397
2022-03-16T20:00:00.000Z,3391,6203,2812
2022-03-16T22:00:00.000Z,3969,7249,3280
2022-03-17T00:00:00.000Z,3808,6953,3145
2022-03-17T02:00:00.000Z,2624,4555,1930
2022-03-17T04:00:00.000Z,3204,6910,3705
2022-03-17T06:00:00.000Z,4896,9722,4825
2022-03-17T08:00:00.000Z,7565,14246,6680
2022-03-17T10:00:00.000Z,7355,13823,6467
2022-03-17T12:00:00.000Z,9063,14470,5407
2022-03-17T14:00:00.000Z,5970,12432,6461
2022-03-17T16:00:00.000Z,3923,7094,3170
2022-03-17T18:00:00.000Z,3344,6259,2915
