Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2021-08-14T00:00:00.000Z,1341,2489,1147
2021-08-15T00:00:00.000Z,1249,2127,877
2021-08-16T00:00:00.000Z,1786,3432,1646
2021-08-17T00:00:00.000Z,2169,4236,2066
2021-08-18T00:00:00.000Z,2334,5967,3633
2021-08-19T00:00:00.000Z,3353,6974,3620
2021-08-20T00:00:00.000Z,1514,3118,1603
2021-08-21T00:00:00.000Z,1267,2486,1218
2021-08-22T00:00:00.000Z,1518,2621,1102
2021-08-23T00:00:00.000Z,1889,3704,1815
2021-08-24T00:00:00.000Z,2425,4354,1927
2021-08-25T00:00:00.000Z,2047,4618,2571
2021-08-26T00:00:00.000Z,6334,8834,2499
2021-08-27T00:00:00.000Z,4062,5818,1755
2021-08-28T00:00:00.000Z,1636,3356,1720
2021-08-29T00:00:00.000Z,954,1564,610
2021-08-30T00:00:00.000Z,1256,2315,1058
2021-08-31T00:00:00.000Z,2248,5065,2816
2021-09-01T00:00:00.000Z,3225,7821,4595
2021-09-02T00:00:00.000Z,3903,7666,3762
2021-09-03T00:00:00.000Z,1622,3777,2155
2021-09-04T00:00:00.000Z,5296,7408,2111
2021-09-05T00:00:00.000Z,57172,58206,1033
2021-09-06T00:00:00.000Z,1223,2142,918
2021-09-07T00:00:00.000Z,2644,6242,3598
2021-09-08T00:00:00.000Z,1593,3255,1661
2021-09-09T00:00:00.000Z,1387,2652,1263
2021-09-10T00:00:00.000Z,1539,3084,1544
2021-09-11T00:00:00.000Z,1042,2121,1078
2021-09-12T00:00:00.000Z,913,1423,509
2021-09-13T00:00:00.000Z,1420,2717,1296
2021-09-14T00:00:00.000Z,10994,13680,2685
2021-09-15T00:00:00.000Z,1473,3230,1756
2021-09-16T00:00:00.000Z,1784,3646,1861
2021-09-17T00:00:00.000Z,2320,4691,2371
2021-09-18T00:00:00.000Z,1315,2531,1215
2021-09-19T00:00:00.000Z,1009,33679,32669
2021-09-20T00:00:00.000Z,1225,2150,925
2021-09-21T00:00:00.000Z,1753,3472,1719
2021-09-22T00:00:00.000Z,3342,4159,817
2021-09-23T00:00:00.000Z,1286,2336,1049
2021-09-24T00:00:00.000Z,2663,4733,2070
2021-09-25T00:00:00.000Z,1647,3159,1511
2021-09-26T00:00:00.000Z,1157,2013,856
2021-09-27T00:00:00.000Z,2209,4603,2394
2021-09-28T00:00:00.000Z,1305,2182,876
2021-09-29T00:00:00.000Z,3014,5776,2761
2021-09-30T00:00:00.000Z,1512,3358,1846
2021-10-01T00:00:00.000Z,6141,9013,2871
2021-10-02T00:00:00.000Z,1389,2960,1570
2021-10-03T00:00:00.000Z,1736,3660,1924
2021-10-04T00:00:00.000Z,2077,4437,2359
2021-10-05T00:00:00.000Z,5401,9087,3685
2021-10-06T00:00:00.000Z,6591,8722,2129
2021-10-07T00:00:00.000Z,2157,4571,2414
2021-10-08T00:00:00.000Z,6206,9124,2918
2021-10-09T00:00:00.000Z,2546,3463,917
2021-10-10T00:00:00.000Z,1330,2301,970
2021-10-11T00:00:00.000Z,1194,2060,865
2021-10-12T00:00:00.000Z,2534,3706,1171
2021-10-13T00:00:00.000Z,6719,8665,1945
2021-10-14T00:00:00.000Z,1473,2683,1209
2021-10-15T00:00:00.000Z,1580,2930,1349
2021-10-16T00:00:00.000Z,8184,9494,1310
2021-10-17T00:00:00.000Z,1090,1925,834
